ui_at_learning_limit|(ao limite de aprendizado para esta raça)
ui_not_enough_skill_points_to_learn|(pontos de habilidade insuficientes para aprender)
ui_not_enough_attributetype_to_learn_this_skill|(%s insuficientes para aprender essa habilidade)
ui_explanation_agility|Agilidade: Cada ponto lhe dá 5 Pontos de Armas e aumenta a velocidade das armas em 0.5%. As seguintes habilidades não podem ser desenvolvidas além de 1/3 da Agilidade: Mestre de Armas, Escudo, Atletismo, Montaria, Arquearia Montada, Saqueamento.
ui_retreated_battle|%s foi encaminhado.
ui_riding_skill_not_adequate_to_mount|(habilidade em Cavalgar muito baixa)
ui_camp|Ações
ui_tutorial_inventory|Em The Last Days, você precisa de Pontos de Recursos para obter equipamentos. Pontos de Recursos são uma medida do quanto uma facção deseja manter-lhe abastecido, e quanto dos recursos da facção você têm direito de usar.
ui_you_dont_have_value|Não possui: %s
ui_merchant_cant_afford_value|%s: Você está nos dando mais do que precisamos! Talvez deva manter algo a mais para você (você está dando bens para %s, podemos usar somente %s).
ui_merchant_pay_whatever|Não, eu não preciso de nada disso, fique com você.
ui_horse|Montar
ui_reclaim_your_sold_goods|Pegue de volta suas mercadorias, antes de pegar isso!
ui_return_your_bought_goods|Devolva as mercadorias, antes de pegar isso!
ui_return_price|se voltou: +%d Pts. Recursos
ui_sell_price|Se for dado: +%d Pts. Recursos
ui_reclaim_price|Reivindicar: -%d Pts. Recursos
ui_buying_price|Requerer: -%d Pts. Recursos
ui_notification_riding_skill_not_enough|Sua habilidade em cavalgar não é alta o suficiente para montar nisto.
ui_notification_payment_value|Consumindo %s
ui_notification_payment_receive_value|Ganhando %s
ui_weekly_cost_value|Manutenção: %s
ui_sell|Entregar
ui_hire|Recrutar
ui_notification_cant_hire|(Pts. Recursos insuficientes para recrutar)
ui_joining_cost_weekly_wage|Recrutar: %d Pts. Recursos -- Manutenção: %d Pts. Recursos
ui_weekly_wage|Manutenção: %d Pts. Recursos
ui_price|Valor: %d Pts. Recursos
ui_cant_reload_this_weapon_on_horseback|Não é possível recarregar esta arma enquanto estiver montado.
ui_delivered_number_damage_to_horse|Causou %d dano à montaria.
ui_horse_charged_for_number_damage|Montaria investiu causando %d de dano.
ui_horse_received_number_damage|Montaria recebeu %d dano.
ui_horse_fell_dead|Montaria caiu morta...
ui_horse_crippled|Montaria aleijada...
ui_you_got_value|%s recebido.
ui_has_deserted_the_party|deixou o grupo.
ui_have_deserted_the_party|deixou o grupo.
ui_loading_textures|Carregando texturas (seja paciente)...
ui_order_hold_fire_toggle|Não atire/Atire à vontade(Alternar)
ui_order_dismount_toggle|Ordenar Desmontar/Montar (Alternar)
ui_mount_horses_e_|%s, Montar!
ui_hold_fire_e_|%s, Não atire!
ui_fire_at_will_e_|%s, Atire à vontade!
ui_recent_messages|Últimas Mensagens
ui_value_denars|%d Pontos de Recurso
ui_cannot_be_used_on_horseback|Não pode ser usado enquanto estiver montado
ui_upgrade_to_value|Melhorar para %s
ui_notification_cant_upgrade|(Não é possível melhorar enquanto estiver entregando tropas)
ui_lance_control|Controle da Lança:
ui_manual_easy|Manual (Fácil)
ui_manual_hard|Manual (Difícil)
; ui_campaign_ai|Campaign AI (Unused in TLD):
ui_crouch|Agachar

# swy: added from this spreadsheet, as requested by our translators:
#      https://docs.google.com/spreadsheets/d/1_zpuLL5iCwybkPCiJLOuyXTdZDm1_zxoToTroJRbtp4/edit?usp=sharing
