skl_trade|Pechincheiro
; skl_trade_desc|Levels of this skill make it possible to claim more equipment for less Resource Points. (Party skill)
skl_leadership|Liderança
; skl_leadership_desc|Every point increases maximum number of troops you can command by 5, increases your party morale and reduces troop wages by 5%%. (Leader skill)
skl_prisoner_management|Gestão de prisioneiros
; skl_prisoner_management_desc|Every level of this skill increases maximum number of prisoners by %d. (Leader skill)
skl_persuasion|Persuasão
; skl_persuasion_desc|This skill helps you make other people accept your point of view. (Personal skill)
skl_engineer|Artesanato
; skl_engineer_desc|Each point to this skill both decreases the time to craft and upgrade equipment, and allows better quality upgrades. (Party skill)
skl_first_aid|Primeiros Socorros
; skl_first_aid_desc|Heroes regain 5%% per skill level of hit-points lost during mission. (Party skill)
skl_surgery|Cirurgia
; skl_surgery_desc|Each point to this skill gives a 4%% chance that a mortally struck party member will be wounded rather than killed. (Party skill)
skl_wound_treatment|Tratamento de Feridas
skl_wound_treatment_desc|A velocidade de cura do bando é aumentada em 20%% por level dessa habilidade. (Habilidade do Bando)
skl_inventory_management|Gestão de inventário
skl_inventory_management_desc|Aumenta a capacidade do inventário em +6 por cada level desta habilidade. (Habilidade do Líder)
skl_spotting|Avistamento
; skl_spotting_desc|Party seeing range is increased by 10%% per skill level. (Party skill)
; skl_pathfinding|Path-finding
; skl_pathfinding_desc|Party map speed is increased by 3%% per skill level. (Party skill)
skl_tactics|Táticas
; skl_tactics_desc|Every two levels of this skill increases starting battle advantage by 1. (Party skill)
skl_tracking|Rastreamento
; skl_tracking_desc|Tracks become more informative. (Party skill)
skl_trainer|Treinador
; skl_trainer_desc|Every day, each hero with this skill adds some experience to every other member of the party whose level is lower than his/hers. Experience gained goes as: {0,4,10,16,23,30,38,46,55,65,80}. (Personal skill)
skl_looting|Pilhagem
; skl_looting_desc|This skill increases the amount of loot obtained by 10%% per skill level. (Party skill)
skl_horse_archery|Arqueria Montada
; skl_horse_archery_desc|Reduces damage and accuracy penalties for archery and throwing when mounted. (Personal skill)
skl_riding|Cavalgada
; skl_riding_desc|enables you to ride horses (or other beasts) of higher difficulty levels and increases your riding speed and manuever. (Personal skill)
skl_athletics|Atletismo
; skl_athletics_desc|improves your running speed. (Personal skill)
skl_shield|Escudo
; skl_shield_desc|reduces damage to shields (by 8%% per skill level) and improves shield speed and coverage. (Personal skill)
skl_weapon_master|Maestria em armas
; skl_weapon_master_desc|makes it easier to learn weapon proficiencies and increases the proficiency limits. Limits go as: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420. (Personal skill)
; skl_power_draw|Power Draw
; skl_power_draw_desc|lets character use more powerful bows. Each point to this skill (up to four plus power-draw requirement of the bow) increases bow damage by 14%%. (Personal skill)
; skl_power_throw|Power Throw
; skl_power_throw_desc|Each point to this skill increases throwing damage by 10%%. (Personal skill)
; skl_power_strike|Power Strike
skl_power_strike_desc|Cada ponto nesta habilidade aumenta o dano físico em 8%%. (Habilidade Pessoal)
; skl_ironflesh|Ironflesh
skl_ironflesh_desc|Cada ponto nesta habilidade aumenta sua vida em +2. (Habilidade Pessoal)
