p_town_minas_tirith|Minas Tirith
p_town_pelargir|Pelargir
p_town_linhir|Linhir
p_town_dol_amroth|Dol Amroth
p_town_edhellond|Edhellond
p_town_lossarnach|Lossarnach
p_town_tarnost|Tarnost
p_town_erech|Erech
p_town_pinnath_gelin|Pinnath Gelin
p_town_west_osgiliath|West Osgiliath
p_town_henneth_annun|Henneth Annun
p_town_cair_andros|Cair Andros
p_town_calembel|Calembel
p_town_edoras|Edoras
p_town_aldburg|Aldburg
p_town_hornburg|Hornburg
p_town_east_emnet|Oost Emnet
p_town_westfold|Westfold
p_town_west_emnet|West Emnet
p_town_eastfold|Oostfold
p_town_morannon|Morannon
p_town_minas_morgul|Minas Morgul
p_town_cirith_ungol|Orc Patrol Camp
p_town_east_osgiliath|Oost Osgiliath
p_town_orc_sentry_camp|Ork Schildwacht Kamp
p_town_isengard|Isengard
p_town_urukhai_outpost|Uruk Hai Buitenpost
p_town_urukhai_h_camp|Uruk Hai Jagerskamp
p_town_urukhai_r_camp|Uruk Hai Rivierkamp 
p_town_caras_galadhon|Caras Galadhon
p_town_cerin_dolen|Cerin Dolen
p_town_cerin_amroth|Cerin Amroth
p_town_thranduils_halls|Thranduil's Halls
p_town_woodelf_camp|Boself Kamp
p_town_woodelf_west_camp|Boself West Kamp
p_town_woodsmen_village|Bosman Dorp
p_town_beorning_village|Beorning Dorp
p_town_beorn_house|Beorn's Huis
p_town_moria|Poort van Moria
p_town_troll_cave|Trollen Grot
p_town_dale|Dale
p_town_esgaroth|Esgaroth
p_town_dunland_camp|Dunland Kamp
p_town_harad_camp|Haradrim Kamp
p_town_khand_camp|Khand Kamp
p_town_umbar_camp|Piraten Kamp
p_town_imladris_camp|Rivendell Kamp
p_town_dol_guldur|Dol Guldur
p_town_dol_guldur_north_outpost|Dol Guldur Noorder Uitkijkpost
p_town_rhun_main_camp|Hoofd Rhun Kamp
p_town_rhun_south_camp|Rhun Zuidelijke Uitkijkpost
p_town_rhun_north_camp|Rhun Noordelijke Uitkijkpost
p_town_gundabad|Gundabad
p_town_gundabad_ne_outpost|Gundabad NO Uitkijkpost
p_town_gundabad_nw_outpost|Gundabad NW Uitkijkpost
p_town_goblin_north_outpost|Aardmannen Noordelijke Uitkijkpost
p_town_goblin_south_outpost|Aardmannen Zuidelijke Uitkijkpost
p_town_gundabad_m_outpost|Gundabad Demsterwold Uitkijkpost
p_town_erebor|Erebor
p_town_ironhill_camp|Ijzeren hillen Steengroeve
p_advcamp_gondor|Gondor Gevorderde Kamp
p_advcamp_rohan|Rohan Gevorderde Kamp
p_advcamp_isengard|Isengard Gevorderde Kamp
p_advcamp_mordor|Mordor Gevorderde Kamp
p_advcamp_harad|Harad Gevorderde Kamp
p_advcamp_rhun|Rhun Gevorderde Kamp
p_advcamp_khand|Khand Gevorderde Kamp
p_advcamp_umbar|Umbar Gevorderde Kamp
p_advcamp_lorien|Lorien Gevorderde Kamp
p_advcamp_imladris|Imladris Gevorderde Kamp
p_advcamp_woodelf|Demsterwold Gevorderde Kamp
p_advcamp_moria|Moria Gevorderde Kamp
p_advcamp_guldur|Dol Guldur Gevorderde Kamp
p_advcamp_gundabad|Gundabad Gevorderde Kamp
p_advcamp_dale|Dale Gevorderde Kamp
p_advcamp_dwarf|ebor Gevorderde Kamp
p_advcamp_dunland|Dunland Gevorderde Kamp
p_advcamp_beorn|Beorning Gevorderde Kamp
p_argonath|Argonath
p_argonath2|Argonath
p_hand_isen|Handteken van Isengard
p_mount_doom|Mount Doum
p_town_barad_dur|Barad Dur
p_ford_cair_andros1|Anduin
p_ford_cair_andros2|Anduin
p_ford_caras_galadhon|Anduin
p_ford_brown_lands|Anduin
p_ford_rauros|Anduin
p_ford_pelargir|Anduin
p_ford_edhellond|Anduin
p_ford_cerin_dolen|Zilverlode
p_old_ford|Oude Ford
p_ford_erech|Ringlo
p_ford_isen1|Isen
p_ford_isen2|Isen
p_ford_rohan|Entwas
p_ford_rohan2|Entwas
p_ford_fangorn|Entwas
p_ford_fangorn2|Limligt
p_ford_moria|Zilverlode
p_legend_amonhen|Amon Hen
p_legend_deadmarshes|Dood Moeras
p_legend_mirkwood|Demsterwold Bos
p_legend_fangorn|Fangorn Entenmoet
p_ancient_ruins|Oude Ruines
