itm_horse_meat|Paardenvlees
itm_practice_sword|Oefenzwaard
itm_arena_lance|Lans
itm_practice_staff|Houten Staf
itm_practice_bow|Oefenboog
itm_wooden_javelin|Houten Werspeer
itm_human_meat|Mensenvlees
itm_maggoty_bread|Maden Brood
itm_cram|Cram Rantsoen
itm_lembas|Lembas
itm_smoked_fish|Gerookte Vis
itm_dried_meat|Gedroogd Vlees
itm_cattle_meat|Rundvlees
itm_grain|Tarwe
itm_tools|Gereedschap
itm_siege_supply|Benodigdheden
itm_quest_wine|Wijn
itm_quest_ale|Bier
itm_metal_scraps_bad|Lage rang metaalresten
itm_metal_scraps_medium|Bruikbaar metaalresten
itm_metal_scraps_good|Goede kwaliteit metaalresten
itm_oliphant|Olifant
itm_sumpter_horse|Sumpter Paard
itm_saddle_horse|Zadel Paard
itm_steppe_horse|Steppe Paard
itm_courser|Renpaard
itm_hunter|Jager
itm_pony|Pony
itm_arnor_warhorse|Arnorian Oorlogspaard
itm_dunedain_warhorse|Dunedain Oorlogspaard
itm_rohirrim_courser|Rohirrim Renpaard
itm_rohirrim_hunter|Rohirrim Jager
itm_rohirrim_courser2|Rohirrim Renpaard
itm_rohan_warhorse|Rohirrim Oorlogspaard
itm_thengel_warhorse|Thengel Guard Oorlogspaard
itm_rhun_horse_a|Rhun Paard
itm_rhun_horse_b|Rhun Paard
itm_rhun_horse_d|Rhun Paard 
itm_rhun_horse_e|Rhun Zwaar Paard
itm_rhun_horse_f|Rhun Zwaard Paard
itm_rhun_horse_g|Rhun Zwaar Paard 
itm_rhun_horse_h|Rhun Zwaar Paard 
itm_dale_horse|Dale Paard
itm_dale_warhorse|Dale Oorlogspaard
itm_riv_warhorse|Rivendell Oorlogspaard
itm_riv_warhorse2|Imladris Ros
itm_mordor_warhorse|Mordor Oorlogspaard
itm_mordor_warhorse2|Mordor Onguur Oorlogspaard
itm_gondor_courser|Gondor Renpaard
itm_gondor_hunter|Gondor Jager
itm_dol_amroth_warhorse|Dol Amroth Oorlogspaard
itm_dol_amroth_warhorse2|Dol Amroth Zwaar Oorlogspaard
itm_gondor_warhorse|Gondor Oorlogspaard
itm_gondor_lam_horse|Lamedon Gepantserde Paard
itm_lorien_warhorse|Lothlorien Oorlogspaard
itm_harad_horse|Harad Paard
itm_harad_warhorse|Harad Oorlogspaard
itm_variag_pony|Variag Pony
itm_variag_kataphrakt|Easterling Oorlogspaard
itm_warg_1b|Warg
itm_warg_1c|Warg
itm_warg_1d|Warg 
itm_wargarmored_1b|Gepantererde Warg
itm_wargarmored_1c|Gepantererde Warg
itm_wargarmored_2b|Gepantererde Warg
itm_wargarmored_2c|Gepantererde Warg
itm_wargarmored_3a|Gepantererde Warg
itm_warg_reward|Grote Warg
itm_troll_feet_boots|Trol Voet
itm_troll_head_helm|Trol Hoofd
itm_troll_head_helm_b|Trol Hoofd
itm_troll_head_helm_c|Trol Hoofd
itm_tree_trunk_club_a|Boomstam
itm_tree_trunk_club_b|Boomstam
itm_tree_trunk_invis|Boomstam 
itm_giant_hammer|Gigantische Hamer
itm_giant_mace|Gigantische Strijdknots
itm_giant_mace_b|Gigantische gespijkerde strijdknots
itm_olog_feet_boots|Olog Hai Voet
itm_olog_head_helm|Olog Hai Hoofd
itm_olog_head_helm_b|Olog Hai Hoofd
itm_olog_head_helm_c|Olog Hai Hoofd
itm_olog_body|Olog Hai Pantser
itm_olog_body_b|Olog Hai Pantser
itm_olog_hands|Olog Hai Handen
itm_arrows|Pijlen
itm_gondor_arrows|Gondor Pijlen
itm_gondor_auxila_arrows|Gondorian Pijlen
itm_khergit_arrows|Prikkeldraad Pijlen
itm_rohan_arrows_2|Rohirrim Pijlen
itm_harad_arrows|Haradrim Pijlen
