fac_no_faction|소속없음
fac_commoners|평민
fac_outlaws|야만인과 도적
fac_gondor|곤도르
fac_dwarf|에레보르
fac_rohan|로한
fac_mordor|모르도르
fac_isengard|아이센가드
fac_lorien|로스로리엔
fac_imladris|임라드리스
fac_woodelf|어둠숲 요정
fac_dale|너른골
fac_harad|하라드
fac_rhun|룬
fac_khand|칸드
fac_umbar|움바르
fac_moria|모리아
fac_guldur|돌 굴두르
fac_gundabad|군다바드 산
fac_dunland|던렌드족
fac_beorn|베오른족
fac_player_supporters_faction|플레이어 세력
fac_player_faction|플레이어 세력
fac_brigands|노상강도
fac_tribal_orcs|부족 오크
fac_innocents|약자들
fac_merchants|상인
fac_manhunters|현상금 사냥꾼
fac_deserters|탈영병
fac_mountain_bandits|산적
fac_forest_bandits|숲 도적
