trp_unarmed_troop|Neozbrojená jednotka
trp_unarmed_troop_pl|Neozbrojené jednotky
trp_tutorial_maceman|Vojak s palcátom
trp_tutorial_maceman_pl|Vojaci s palcátom
trp_tutorial_archer|Lukostrelec
trp_tutorial_archer_pl|Lukostrelci
trp_tutorial_swordsman|Šermiar
trp_tutorial_swordsman_pl|Šermiari
trp_novice_fighter|Bojovník začiatočník
trp_novice_fighter_pl|Bojovníci začiatočníci
trp_regular_fighter|Rádový vojak
trp_regular_fighter_pl|Rádoví vojaci
trp_veteran_fighter|Bojový veterán
trp_veteran_fighter_pl|Bojoví veteráni
trp_champion_fighter|Bojový šampión
trp_champion_fighter_pl|Bojoví šampioni
trp_arena_training_fighter_1|Bojovník začiatočník
trp_arena_training_fighter_1_pl|Bojovníci začiatočníci
trp_arena_training_fighter_2|Bojovník začiatočník
trp_arena_training_fighter_2_pl|Bojovníci začiatočníci
trp_arena_training_fighter_3|Rádový vojak
trp_arena_training_fighter_3_pl|Rádoví vojaci
trp_arena_training_fighter_4|Rádový Vojak
trp_arena_training_fighter_4_pl|Rádoví vojaci
trp_arena_training_fighter_5|Rádový vojak
trp_arena_training_fighter_5_pl|Rádoví vojaci
trp_arena_training_fighter_6|Bojový veterán
trp_arena_training_fighter_6_pl|Bojoví veteráni
trp_arena_training_fighter_7|Bojový veterán
trp_arena_training_fighter_7_pl|Bojoví veteráni
trp_arena_training_fighter_8|Bojový veterán
trp_arena_training_fighter_8_pl|Bojoví veteráni
trp_arena_training_fighter_9|Bojový šampión
trp_arena_training_fighter_9_pl|Bojoví šampioni
trp_arena_training_fighter_10|Bojový šampión
trp_arena_training_fighter_10_pl|Bojoví šampioni
trp_cattle|Dobytok
trp_cattle_pl|Dobytok
trp_farmer|Sedliak
trp_farmer_pl|Sedliaci
trp_townsman|Mešťan
trp_townsman_pl|Mešťania
trp_watchman|Mešťanka
trp_watchman_pl|Mešťanky
trp_i1_woodmen_man|Lesník
trp_i1_woodmen_man_pl|Lesníci
trp_i2_woodmen_forester|Lesník drevorubač
trp_i2_woodmen_forester_pl|Lesníci drevorubači
