ui_at_learning_limit|(na hranici pre túto rasu)
ui_not_enough_skill_points_to_learn|(nedostatok bodov schopnosti)
ui_not_enough_attributetype_to_learn_this_skill|(nedostatok %s pre túto schopnosť)
ui_explanation_agility|Obratnosť: Každý bod ti dá päť bodov zbraní a zvyšuje rýchlosť zbrane o 0,5%. Nasledujúce schopnosti nemôžu byť zvýšené nad 1/3 Obratnosti: Majster zbrane, Štít, Atletika, Jazdectvo, Streľba zo sedla, Koristenie
ui_retreated_battle|%s zbehlo
ui_riding_skill_not_adequate_to_mount|(Jazdecká schopnosť príliš nízka)
ui_camp|Činnosti
ui_tutorial_inventory|V Posledných dňoch budeš potrebovať pre získanie výbavy Body zásob. Body zásob sú mierkou toho, jak ochotné sú frakcie zásobovať ťa, a na koľko frakčných zásob máš nárok.
ui_you_dont_have_value|Nemáš %s
ui_merchant_cant_afford_value|%s: Dávaš nám toho viac než potrebujeme! Nechaj si radšej viac pre seba (odovzdávaš majetok %s, môžeme použiť len %s).
ui_merchant_pay_whatever|Nie, nič z toho nepotrebujem, nechajte si to.
ui_horse|Osedlať
ui_reclaim_your_sold_goods|Než to urobíte, zoberte si späť odovzdaný tovar!
ui_return_your_bought_goods|Než to urobíte, vráťte späť tovar ktorý ste vzali!
ui_return_price|Pri vrátení +%d Bod.Z.
ui_sell_price|Pri odovzdaní +%dBod.Z.
ui_reclaim_price|Žiadať späť -%d Bod.Z.
ui_buying_price|Požadovať -%d Bod.Z
ui_notification_riding_skill_not_enough|Tvoja Jazdecká schopnosť je príliš nízka k jazdeniu na tomto.
ui_notification_payment_value|Spotrebuje %s
ui_notification_payment_receive_value|Získá %s
ui_weekly_cost_value|Žold %s
ui_sell|Predať
ui_hire|Verbovať
ui_notification_cant_hire|(nedostatok Bod.Z. na verbovanie)
ui_joining_cost_weekly_wage|Verbovanie: %d Bod.Z. -- Žold %dBod.Z.
ui_weekly_wage|Žold %d Bod.Z.
ui_price|Cena %d Res.P.
ui_cant_reload_this_weapon_on_horseback|Túto zbraň nemôžeš používať v sedle.
ui_delivered_number_damage_to_horse|Spôsobené %d poškodenie zvieraťu.
ui_horse_charged_for_number_damage|Zviera spôsobilo %d poškodenie.
ui_horse_received_number_damage|Zviera utrpelo %d poškodenie.
ui_horse_fell_dead|Jazdecké zviera zomrelo...
ui_horse_crippled|Jazdecké zviera zmrzačené...
ui_you_got_value|%s získané.
ui_has_deserted_the_party|opustil/a družinu.
ui_have_deserted_the_party|opustili družinu.
ui_loading_textures|Nahrávam textury (buď trpezlivý)...
ui_order_hold_fire_toggle|Nestrieľajte/Strieľajte podľa vlastného uváženia (prepnúť)
ui_order_dismount_toggle|Prikázať Zosadnúť/Nasadnúť (prepnúť)
ui_mount_horses_e_|%s, Nasadnúť!
ui_hold_fire_e_|%s, Nestrieľajte!
ui_fire_at_will_e_|%s, Strieľajte podľa vlastného uváženia!
ui_recent_messages|Posledné  správy
