
str_yes|Áno.
str_no|Nie.
str_noone|nikto
str_s50_comma_s51|{s50}, {s51}
str_s50_and_s51|{s50} a {s51}
str_s5_s_party|{s5}ova Družina
str_s5_s_host| {s5}ov Oddiel
str_given_by_s1_at_s2|Daný {s1}om v {s2}e
str_given_by_s1_in_wilderness|Daný {s1} v divočine
str_s7_raiders|{s7} nájazdníci
str_bandits_eliminated_by_another|Doliezaví zbojníci boli zlikvidovaní inou družinou.
str_msg_battle_won|Bitka vyhraná! Stlač TAB pre odchod...
str_tutorial_map1|Teraz sa pozeráš sa na mapu Stredozeme. Klikni ľavým tlačítkom na mapu, aby sa tvoja družina presunula na dané miesto, do vybraného mesta, či prenasledovala vybranú skupinu. Pokiaľ sa tvoja družina nehýbe, nečaká alebo neodpočíva, čas sa na mape zastaví. Pre čakanie stisni a drž MEDZERNÍK.
str_accept|Prijať
str_charge|Útok!
str_color|Farba
str_flip_horizontal|Prevrátiť horizontálne
str_flip_vertical|Prevrátiť vertikálne
str_hold_fire|Nestrieľať
str_blunt_hold_fire|Tupé zbrane / Nestrieľať
str_tutorial_ammo_refilled|Munícia doplnená.
str_tutorial_failed|Tento krát ťa porazili, ale neboj sa, pozorne následuj pokyny a nabudúce si povedieš lepšie. Stlač klávesu TAB pre návrat do menu, kde môžeš spustiť tento návod odznova.
str_tutorial_1_msg_1|V tomto návode sa naučíš základy ovládania pohybu a boja. V Mount&Blade používaš myš pre ovládanie smeru, kam hľadíš, a klávesy WASD na tvojej klávesnici pre pohyb. Tvojou prvou úlohou v tomto nácviku bude umiestniť vlajku v miestnosti a prejsť cez ňu. Pre ukončenie tohto návodu môžeš kedykoľvek stisnúť klávesu TAB, rovnako budeš môcť opustiť akúkoľvek oblasť v hre. Teraz choď k vlajke.
str_tutorial_1_msg_2|Výborne. Teraz ťa naučíme bojovať. Pre účely tohto návodu sme ťa vyzbrojili lukom, šípmi, mečom a štítom. Pre výber medzi jednotlivými zbraňami použi kolečko myši. Pri základnom nastavení ovládania ťahaním kolečka smerom nahor volíš svoju ďalšiu zbraň, zatiaľ čo ťahaním kolečka smerom nadol vyberáš štít. Pokiaľ už držíš štít, ťahaním kolečka smerom nadol si ho naopak odložíš. Teraz si skús výber zbraní pomocou kolečka. Keď budeš pripravený, choď k vlajke pre postup k ďalšej úlohe návodu.
