dlga_start:mutiny_pretalk_1|Zdravím, veliteľ {playername}. Čujte..^Chlapi sa sťažujú! Chcú viac zábavy, menej pochodovania.
dlga_mutiny_pretalk_1:mutiny_pretalk_2|Späť do rady, červ! Sme vo vojne a ja som tvoj veliteľ.
dlga_mutiny_pretalk_2:close_window|Jak chceš, veliteľ. Jak chceš...
dlga_start:mutiny_talk_1|Zdravíčko, veliteľ. Čujte... Chlapi nie sú veľmi spokojní, vlastne vôbec. ^Málo ľudského mäsa, málo zábavy, ^Chlapi hovoria, že ste veliteľ na nič !
dlga_mutiny_talk_1:mutiny_talk_2|Čože? Vzbura počas vojny? ^To sa trestá smrťou, červ!
dlga_mutiny_talk_2:close_window|Viete čo? ^Chlapi si myslia že budem pre nich lepší veliteľ, keď vás ZABIJEM!
dlga_start:troll_introduce_1|Problém?
dlga_start:troll_talk_1|Naštvaný ?
dlga_troll_introduce_1:troll_goodbye|Čože?! Hovoriaci zlobor?
dlga_troll_introduce_1:close_window|Vlastním koňa.
dlga_troll_talk_1:troll_talk_2|Vytrol ma, trol.
dlga_troll_talk_1:close_window|Vlastním koňa.
dlga_troll_talk_2:troll_talk_3|Výzva prijatá!^^{s4}
dlga_troll_beaten:troll_talk_1|Klaniam sa vašej múdrosti, Majster Balter od Zlobrov! 
dlga_troll_goodbye:close_window|TROLLOLOLOLOLOLOLOLOLOL!
dlga_start:hobbit_merry_talk_met|Opäť zdravím, {playername}!
dlga_start:hobbit_pippin_talk_met|Opäť zdravím, {playername}!
dlga_start:hobbit_general_talk_1|Zdravím,{pane/paní}! Moje meno je Chicholm Brandylen, no môžete ma volať proste Chicho!
dlga_start:hobbit_general_talk_1.1|Zdravím, {pane/paní}! Moje meno je Pútnik Bral, ale môžete ma pokojne volať jednoducho Pipin !
dlga_hobbit_general_talk_1:close_window|Teraz nemám čas. 
dlga_hobbit_general_talk_1:hobbit_general_talk_first_met|Popravde. Ešte nikdy som nevidel niekoho z tvojho druhu.
dlga_hobbit_general_talk_1:hobbit_general_talk_second_met|Myslím, že už som sa stretol s jedným, ktorý bol podobný tebe, v Edorase.
dlga_hobbit_general_talk_1:hobbit_general_talk_second_met.1|Myslím, že už som stretol niekoho podobného ako ty, v Minas Tirith.
dlga_hobbit_general_talk_first_met:hobbit_general_talk_3|Viem. Prišiel som z ďaleka! Som hobit, {pane/paní}, z Grófstva.
dlga_hobbit_general_talk_second_met:hobbit_general_talk_ask|Oh, to musí byť môj drahý bratranec! Pútnik Bral, či Pipin, ako ho prezývajú. Sme hobiti, {pane/paní} a prišli sme z Grófstva, obaja! Starý dobrý Pipin, zaujímalo by ma ako sa mu darí v Minas Tirith.
