menu_start_game_1|^^^^^^^^^^ مالذي تحاربون لأجله؟
mno_start_good|فجر العصر الجديد
mno_start_evil|شفق الرجال
mno_faction_intros|تعرف على الفصائل المختلفة للأرض الوسطى
mno_go_bback|إرجع
menu_start_phase_2|^^^^^في منتصف الارض.الظلام ينتشر الى الشرق,^  
mno_go_forth|انطلق لصراطك المختار
; mno_change_war_start_mode|War Starts:  {s7}
; mno_toggle_tutorial|Pop-Up Tutorials:  {s7}
mno_change_tld_options|تغيير خيارات TLD.
; mno_see_info_pages|TLD game concepts.
menu_start_game_3|اختر السنايرو
mno_custom_battle_scenario_1|مناوشة, قاندور vs هاراد
mno_custom_battle_scenario_12|اختر الطائفة للمعركة
mno_custom_battle_scenario_3|مناوشة, الاليفز vs البلاك نموريونز
mno_custom_battle_scenario_4|الدفاع عن هليمز ديب, روهان vs ايزنقارد
mno_custom_battle_scenario_5|مناوشة, الطوائف الشمالية vs روهن
mno_custom_battle_scenario_6|معركة حصار, الغوله vs الاقزام
mno_custom_battle_scenario_7|كمين, الغولة vs ميرك ود
mno_custom_battle_scenario_8|الموقف الأخير لقوم دورين
mno_custom_battle_scenario_88|مطاردة حزب الكشافة اورك
mno_custom_battle_scenario_11|معركة اختبارية (موازنة للانسيابية)
mno_troll_battle_scenario|اختبار معركة للترولز
mno_warg_battle_scenario|اختبار معركة للوراقز
mno_build_your_own_scene|ابن مشهد خاص بك 
mno_go_back|عد
menu_tutorial|^^ مرحبًا بك في البرنامج التعليمي القتالي لـ Mount & Blade. هنا سوف تتعلم أساسيات القتال ، بالإضافة إلى نظرة عامة موجزة عن قيادة القوات أثناء المعارك الميدانية.
mno_tutorial_1|التعلم الجزء #1 : الحركات المبدئية و اختيارات الاسلحة,{s1}
mno_tutorial_2|التعلم الجزء #2: القتال مع الدرع, {s2}
mno_tutorial_3|التعلم الجزء #3: القتال من دون درع, {s3}
mno_tutorial_3b_door|المستوى التالي 
mno_tutorial_4|التعلم الجزء #4: ركوب الخيل او الورق, {s4}
mno_tutorial_5|درس # 5: قيادة فرقة من الجنود. {s5}
mno_go_back_dot|عد للخلف 
mno_action_view_troop_trees|عرض شجرة الجنود
mno_view_upkeep_costs|عرض قيمة الاجور
mno_view_character_report|عرض تقرير الشخصية
mno_view_party_size_report|عرض تقرير حجم الجيش
mno_view_morale_report|عرض تقرير الروح المعنوية للجيش
mno_view_faction_strengths_report|عرض التقرير عن قوة الطائفة
mno_view_traits_report|عرض الخواص الشخصية
mno_resume_travelling|اكمل التنقل 
mno_custom_battle_go|ابدا
mno_leave_custom_battle_2|تراجع 
menu_custom_battle_end|المعركة انتهت,{s1} جانبك قتل {reg5} اعداء و خسر  {reg6} جنود في المعركة. انت قتلت {reg7} اعداء في المعركة  
mno_replay|العب هذه المعركة مجددا
mno_continue_dot|اكمل 
menu_custom_battle_durin_end|^ ^ ^ ^ ^ ^ لقد كان موقفًا أخيرًا مثيرًا للإعجاب ، لكنه محكوم عليه بالفشل في النهاية. ^^ لقد قتلت أنت وأقاربك {reg5} من الأعداء. ^ لقد قتلت شخصيًا {reg7} من المعارضين في القتال.
mno_replay_cbd|العب هذه المعركة مجددا
mno_continue_dot_cbd|اكمل 
menu_start_good|اختر عرقك
mno_start_ma|البشر
mno_start_el|الايلفز
mno_start_dw|الاقزام
menu_start_evil|من تخدم ؟
mno_start_eye|ساورون قائد موردور, "ملك الخواتم"
mno_start_hand|سارومان قائد ايزنقارد, "اليد البيضاء"
menu_start_eye|مالكك هو العين بلا عدسة^اختر عرقك
mno_start_or|غول, يخدم العين بلا عدسة 
mno_start_ur|الاورك, الفصيلة الجديدة من الغوله 
mno_start_em|انسان, محكوم من ساورون 
menu_start_hand|مالكك هو "اليد اليضاء"^اختر عرقك
mno_start_whor|غولو يخدم :اليد البيضاء"
mno_start_isur|واحدة من URUK-HAI ، ولدت في Isengard
mno_start_duma|رجل من الدون لاند, الاراضي الغربية 
menu_start_good_man|اختر شعبك
mno_start_go|قوندور, مملكة البرج الابيض
mno_start_ro|روهان, رجال الخيل 
mno_start_du|دوندين, السلالة الحاكمة القديمة من البشر
mno_start_be|بيورنينقوز, رجال الدببة
mno_start_wo|WOODMEN ، من أفاريز ميركوود
mno_start_da|المملكة الشمالية في ديل
menu_start_good_elf|في اي غابة تعيش بها. ايها الحكيم؟
mno_start_ri|ريفن ديل, من الحاكم ايل روند
mno_start_lo|لوث لورين, من الحاكمة قلادرية 
mno_start_mi|ميرك ود, بلاد السليفن ايلفز
menu_start_good_dwarf|اختر اصلك
mno_start_er|ساكن من سكان ايربور
mno_start_ih|عامل منجم في جبال الحديد
menu_start_gondor|من اين تكون, في قاندور 
mno_start_mt|مينس تيرته, العاصمة 
mno_start_ls|لوسارناك, إقطاعية رجال الفأس
mno_start_la|ليم دون, اقطاعية قبائل الجبال 
mno_start_pg|بين ناتث قلين, اقطاعية الهضاب الخضراء
mno_start_do|دول امروث, اقطاعية فرسان الاوز 
mno_start_pe|بيلاقير, الاقطاعية الساحلية
mno_start_bl|وادي الجذور السوداء, اقطاعية الرماة 
menu_start_eye_man|اختر شعبك
mno_start_hr|هاردريم, الشعوب الصحراوية الجنوبية 
mno_start_bn|النوميرونز السود, المرتدين من الغرب
mno_start_um|اومبار, القراصنة من البحور الجنوبية 
mno_start_rh|روهن, الهمج من الشرق
mno_start_kh|كهاند, الشعوب المتوحشة من الجنوب شرق 
menu_start_eye_uruk|اين تتخفى ؟
mno_start_arm_uruk|في الجيوش المحشودة في موردور 
mno_start_cav_uruk|في كهوف ال قول قولدور
menu_start_eye_orc|اين تتخفى ؟
mno_start_arm|في الجيوش المحشودة في موردور 
mno_start_cav|في كهوف ال قول قولدور
menu_start_hand_orc|اين تتخفى ؟
mno_start_armis|في الجيوش المحشودة في ايزنقارد
mno_start_minmo|في مناجم موريا
mno_start_cliff|في حواف جبل قوندباد
menu_start_gondor_mt|اختر اصلك
mno_start_1_com|بلا اصل 
mno_start_2_hib|ذو اصل عالي 
menu_start_haradrim|^^^^^^^انت من ال هاردريم^رجل الصحراء^اختر اصولك
mno_start_1_des|رجل الصحراء
