fac_no_faction|لا مجموعة
fac_commoners|العوام
fac_outlaws|متوحشون وقطاع طرق
fac_gondor|غوندور
fac_dwarf|ايربور
fac_rohan|روهان
fac_mordor|مودور
fac_isengard|إيزينجارد
fac_lorien|لوثورين
fac_imladris|ايملاردس
fac_woodelf|جن مير كوود
fac_dale|وادي لبلغة الشعر
fac_harad|حرض
fac_rhun|رهن
fac_khand|كاهاند
fac_umbar|امبر
fac_moria|موريا
fac_guldur|دول غولدر
fac_gundabad|جبل قنداباد
fac_dunland|دنلندغنز
fac_beorn|بيور رينغز
fac_player_supporters_faction|مجموعة اللاعب
fac_player_faction|مجموعة اللاعب
fac_brigands|قطاع الطريق
fac_tribal_orcs|قبيلة العفاريت
fac_innocents|الأبرياء
fac_merchants|التجار
fac_manhunters|صيادو الرجال
fac_deserters|الفارون
fac_mountain_bandits|قطاع طرق الجبال
fac_forest_bandits|قطاع طرق الغبات
