itm_horse_meat|لحم حصان
itm_practice_sword|سيف تدريب
itm_arena_lance|رمح
itm_practice_staff|عصا خشبية
itm_practice_bow|قوس تدريب
itm_wooden_javelin|رمح خشبي
itm_human_meat|لحم بشري
itm_maggoty_bread|خبز بالديدان
itm_cram|حصص كرام
itm_lembas|ليمباس
itm_smoked_fish|سمك مدخن
itm_dried_meat|لحم مجفف
itm_cattle_meat|لحم بقر
itm_grain|قمح
itm_tools|أدوات
itm_siege_supply|مؤن
itm_quest_wine|نبيذ
itm_quest_ale|جعة
itm_metal_scraps_bad|خردة معدنية منخفضة الجودة
itm_metal_scraps_medium|خردة معدنية قابلة للاستخدام
itm_metal_scraps_good|خردة معدنية عالية الجودة
itm_oliphant|فيول
itm_sumpter_horse|حصان حمولة
itm_saddle_horse|حصان سرج
itm_steppe_horse|حصان السهوب
itm_courser|حصان جواد
itm_hunter|حصان صياد
itm_pony|مهر
itm_dunedain_warhorse|حصان حرب دونيدان
itm_rohirrim_courser|جواد روهيريم
itm_rohirrim_hunter|صياد روهيريم
itm_rohirrim_courser2|جواد روهيريم
itm_rohan_warhorse|حصان حرب روهيريم
itm_thengel_warhorse|حصان حرب روهيريم ثقيل
itm_rhun_horse_a|حصان رون
itm_rhun_horse_b|حصان رون
itm_rhun_horse_d|حصان رون
itm_rhun_horse_e|حصان رون ثقيل
itm_rhun_horse_f|حصان رون ثقيل
itm_rhun_horse_g|حصان رون ثقيل
itm_rhun_horse_h|حصان رون ثقيل
itm_dale_horse|حصان روفانيون
itm_dale_warhorse|حصان حرب روفانيون
itm_riv_warhorse|حصان حرب ريفيندل
itm_riv_warhorse2|جواد إملادريس
itm_mordor_warhorse|حصان حرب موردور
itm_mordor_warhorse2|حصان حرب موردور الشائن
itm_gondor_courser|جواد غوندور
itm_gondor_hunter|صياد غوندور
itm_dol_amroth_warhorse|حصان حرب دول امروث
itm_dol_amroth_warhorse2|حصان حرب دول امروث ثقيل
itm_gondor_warhorse|حصان حرب غوندور
itm_gondor_lam_horse|حصان لاميدون مدرع
itm_lorien_warhorse|حصان حرب لوثلورين
