qstr_Gate_is_breached!|Das Tor ist durchbrochen!
qstr_Gate_opens..._You_ha|Das Tor öffnet sich... Du hast den heiligsten Ort Mittelerdes erreicht!
qstr_Secret_place_discove|Geheimen Ort entdeckt!
qstr_Next_Page|Nächste Seite
qstr_Action|Aktion
qstr_Mount|Aufsitzen
qstr_Attack_Type|Angriffsart
qstr_Hold_This_Position|Position halten!
qstr_Follow_Me|Mir nach!
qstr_Charge|Angreifen!
qstr_Advance|Vorrücken!
qstr_Fall_Back|Zurückfallen!
qstr_Stand_Closer|Zusammenrücken!
qstr_Spread_Out|Ausfächern!
qstr_Stand_Ground|Standhaft bleiben!
qstr_Dismount|Absitzen!
qstr_Use_Any_Weapon|Beliebige Waffe einsetzen!
qstr_Use_Blunt_Weapons|Stumpfe Waffen einsetzen!
qstr_Hold_Your_Fire|Beschuss einstellen!
qstr_Fire_At_Will|Nach Belieben schießen!
qstr_Us|Wir
qstr_Allies|Verbündete
qstr_Enemies|Feinde
qstr_Ready|Bereit
qstr_Wounded|Verwundet
qstr_Dead|Tot
qstr_Routed|Geflohen
qstr_Number_of_men_knocke|Anzahl der niedergeschlagenen Männer: {reg1}
qstr_Number_of_men_left:_|Anzahl der verbleibenden Männer: {reg1}
qstr_Opponents_Beaten:_{r|Geschlagene Gegner: {reg1}
qstr_Opponents_Remaining:|Verbleibende Gegner: {reg1}
qstr_Gauntlet_wave:_1|Gantelet: Welle 1
qstr_Gauntlet_wave:_{reg1|Gantelet: Welle {reg1}
qstr_Remain_in_retirement|Im Ruhestand bleiben.
qstr_Go_back_to_the_adven|Zurück ins Abenteuerleben.
qstr_You_have_retired_at_|Du bist bei Stufe {reg4} nach {reg5} Tagen des Abenteuerns in den Ruhestand gegangen.
qstr_Effect_on_Score|Einfluss auf Punktestand
qstr_Settlements_owned_by|Siedlungen in deinem Besitz: {reg0}
qstr_{reg0?+:}{reg0}|{reg0?+:}{reg0}
qstr_Friendly_Settlements|Freundlich gesinnte Siedlungen: {reg0}
qstr_Hostile_Settlements:|Feindlich gesinnte Siedlungen: {reg0}
qstr_{reg0}|{reg0}
qstr_Friendly_Lords:_{reg|Freundlich gesinnte Fürsten: {reg0}
qstr_Enemy_Lords:_{reg0}|Feindlich gesinnte Fürsten: {reg0}
qstr_Victories:_{reg0}|Siege: {reg0}
qstr_Defeats:_{reg0}|Niederlagen: {reg0}
qstr_Quests_Completed:_{r|Aufträge vollendet: {reg0}
qstr_Companions_Found:_{r|Gefundene Gefährten: {reg0}
qstr_Companions_Lost/Depa|Verlorene/fortgegangene Gefährten: {reg0}
qstr_Wealth:_{reg0}_denar|Reichtum: {reg0} Dinare
qstr_Inventory:_{reg0}_de|Inventar: {reg0} Dinare
qstr_Experience:_{reg0}|Erfahrung: {reg0}
qstr_Days_Passed:_{reg0}|Verstrichene Tage: {reg0}
qstr_Difficulty:_{reg0}%|Schwierigkeitsgrad: {reg0}%
qstr_{reg3?+:}{reg0}|{reg3?+:}{reg0}
qstr_TOTAL_SCORE:_{reg0}|GESAMTPUNKTE: {reg0}
qstr_A_peaceful_village_n|Ein friedliches Dorf nicht weit von der Westfold...
qstr_The_War_is_upon_Roha|Der Krieg kommt über Rohan!
qstr_Minas_Tirith___The_W|Minas Tirith - Die Weiße Stadt
qstr_The_White_Tree_stand|Der Weiße Baum ist tot, denn die Linie der Könige hat versagt
qstr_The_Shadow_grows_eve|Der Schatten im Osten wird immer stärker
qstr_Minas_Morgul___City_|Minas Morgul - Stadt der Nazgûl
qstr_Sauron_s_armies_marc|Saurons Armeen ziehen in den Krieg!
qstr_Adventurers_at_audie|Abenteurer in einer Audienz mit Truchsess Denethor...
qstr___What_business_do_y|"In welcher Sache tretet Ihr vor mich, Bittsteller?"
qstr___Your_Stewardship_w|"Truchsess, wir sind aus fernen Landen gekommen um zu... springen!"
qstr___Enough_of_this_mad|"Schluss mit diesem Wahnsinn! Wachen!!!"
qstr___I_ve_had_enough_of|"Ich habe genug von diesen Possen... Der nächste Haufen wird niederknien!"
qstr_Chest|Brust
qstr_Cape|Umhang
qstr_Arms|Arme
qstr_Thighs|Hüften
qstr_Legs|Beine
qstr_Rotate|Drehen
qstr_Close|Schließen
qstr_Faction_Side:^^Campa|Seite:^^Schwierigkeit*:^^Gegend:^^Heerführer:^^Feinde:^^
qstr_Campaign_Difficulty_|Die Schwierigkeit basiert auf der Fraktionsstärke, den Feinden,^sowie der Stärke der Truppen.

qstr_Rallies:|Sammelrufe:
qstr_View_Keybinds__Press|Tastenbelegungen (Einfg)

qstr_What_do_you_fight_fo|Wofür kämpfst du?
qstr_Go_Back...|Zurück...
qstr_Learn_about_the_diff|Lerne mehr über die Reiche von Mittelerde
qstr_The_DAWN_of_a_New_Er|Den BEGINN eines neuen Zeitalters.
qstr_The_TWILIGHT_of_Man|Den UNTERGANG der Menschheit.
qstr_Click_the_center_but|Klicke auf die Fraktionsanzeige, um die Fraktion zu wechseln^Klicke auf die Truppen, um Details zu sehen
qstr_Level:_{reg3}^Health|Stufe: {reg3}^Gesundheit: {reg4}
qstr_Attributes|Attribute
qstr_STR^AGI^INT^CHA|STR^AGI^INT^CHA
qstr_Skills|Fähigkeiten
qstr_Ironflesh^Power_Stri|Eisenhaut^Schlagkraft^Wurfkraft^Bogenzugkraft^Schild^Athletik^Reiten^Berittenes Bogenschießen
qstr_Proficiencies|Waffenfertigkeiten
qstr_1H_Weapons^2H_Weapon|Einhandwaffen^Zweihandwaffen^Stangenwaffen^Bogenschießen^Armbust^Werfen
qstr_Equipment|Ausrüstung
qstr_The_Last_Days_Mod_Op|The Last Days Mod Optionen
qstr_War_Starts_at_Level:|Krieg beginnt bei Spielerlevel:








qstr_Restrict_Player_Equi|EIngeschränkte Spielerausrüstung:
qstr_Battle_Formations_an|Kampfformationen und AI:
qstr_Native|Nativ
qstr_TLD_FormAI__Original|TLD FormAI (Original)
qstr_TLD_New_FormAI__Beta|TLD New FormAI (Beta)
qstr_Advanced_Siege_AI:__|Verbesserte KI bei Belagerungen:
qstr_On|An
qstr_Town_NPCs_Always_Acc|NPCs in Städten sind immer vom Menü aus erreichbar:
qstr_Cutscenes:__|Zwischensequenzen:
qstr_Injuries_for_compani|Verletzungen für deine Gefährten:
qstr_Permanent_death_for_|Dauerhafter Tod für Anführer und Gefährten:
qstr_Permanent_death_for_p|Dauerhafter Tod für den Spieler (das bist DU!):
qstr_Battle_morale_system|Schlachtmoralsystem:
qstr_Animal_ambushes:__|Wilde Tiere:
qstr_Fallen_rider_damage_|Schadensbenachrichtigung beim Fallen vom Pferd:
qstr_No_Messages|Keine
qstr_Player_damage_only|Nur Spieler
qstr_All_Messages|Alle
qstr_Troop_Identifier_in_|Freund/Feind-Anzeige für Truppen (Drücke Y in der Schlacht zum Anzeigen/Verbergen):
qstr_Disable|Aus
qstr_Enable_without_Facti|An, ohne Fraktionsnamen
qstr_Enable_with_Faction_|An, mit Fraktionsnamen
qstr_Simple:_Red___Enemy_|Einfach: Rot - Feind / Grün - Freund
qstr_Preferred_Camera_Mod|Bevorzugte Kamera:
qstr_Default_Camera|Standartkamera
qstr_Free_Mode_Custom_Cam|Freier Modus
qstr_Fixed_Over_The_Shoul|Feste Schulterkamera
qstr_Prevent_AI_from_taki|Verhindere defensive KI in der Schlacht:
qstr_Brighter_Nights:__|Hellere Nächte:
qstr_Done|Fertig
qstr_Gameplay_Tweaks|Gameplay-Optimierungen...
qstr_Beta_Formations_Twea|Beta-Optionen für Formationen
qstr_War_Will_Start_at_Le|Krieg beginnt bei Spielerlevel {reg0}
qstr_Troop_Tree|Truppenbaum
qstr__Click_on_a_unit_for|(Clicke auf die Truppen für Details)


qstr_Weapons|Waffen
qstr_Armors|Rüstungen
qstr_Others|Andere

qstr_F4___Complex_formati|F4 - Erweiterte Formationen
qstr_F7___Memorize_div._p|F7 - Merke Aufstellung
qstr_F8___Default_divisio|F8 - Standard-Aufstellung
qstr_F4___Ranks|F4 - Reihen
qstr_F5___Shield_Wall|F5 - Schildwall
qstr_F6___Wedge|F6 - Keil
qstr_F7___Square|F7 - Quadrat
qstr_F8___No_Formation|F8 - Keine Formation
qstr_Extended_Formations_|Erweitere Kampfformationen und KI-Einstellungen
qstr_Put_player_in_divisi|Spieler in Abteilung:
qstr_None|Nichts
qstr_Army_rotates_to_face|Armee richtet sich zum gegnerischen Zentrum aus:
qstr_Prevent_AI_from_takin|Verhindere defensive KI in der Schlacht:
qstr_AI_Controls_Troops_W|KI kontrolliert Truppen wenn Spieler KO:
qstr_You_gained_{reg0}_Re|Du erhältst {reg0} Ressourcenpunkte von {s0}.
qstr_You_lost_{reg0}_Reso|Du verlierst {reg0} Ressourcenpunkte von {s0}.
qstr_{s24}:|{s24}:
qstr_Great_Hope_of_{s5}|Große Hoffnung von {s5}
qstr_Hope_of_{s5}|Hoffnung von {s5}
qstr_Indispensable_Ally_o|Unverzichtbarer Verbündeter von {s5}
qstr_Faithful_Ally_of_{s5|Treuer Verbündeter von {s5}
qstr_Trusted_Friend_of_{s|Zuverlässiger Freund von {s5}
qstr_Close_Friend_of_{s5}|Enger Freund von {s5}
qstr_Friend_of_{s5}|Freund von {s5}
qstr_Familiar_to_{s5}|Vertraut mit {s5}
qstr_Known_to_{s5}|Bekannt in {s5}
qstr_Stranger_to_{s5}|Fremd in {s5}
qstr_Great_Enforcer_of_{s|Großer Vollstrecker von {s5}
qstr_Enforcer_of_{s5}|Vollstrecker von {s5}
qstr_Important_Ally_of_{s|Wichtiger Verbündeter von {s5}
qstr_Ally_of_{s5}|Verbündeter von {s5}
qstr_Accomplice_of_{s5}|Helfer von {s5}
qstr_Useful_Tool_of_{s5}|Nützliches Werkzeug von {s5}
qstr_Servant_of_{s5}|Diener von {s5}
qstr_Unknown_to_{s5}|Unbekannt in {s5}
qstr_You_have_been_{reg1?|Du wurdest zu {s24} ({reg0}) {reg1?befördert:degradiert}!
qstr_You_{reg1?earned:los|Du {reg1?erhältst:verlierst} {reg11} Rangpunkte {reg12?und {reg12} Einfluss :} in {s11}.
qstr_You_spent_{reg10}_of|Du hast {reg10} deines Einflusses bei {s1} verbraucht. Dir verbleiben {reg11}.
qstr_Troop_upkeep:|Unterhaltskosten der Truppen:
qstr_{s11}_and_{s10}|{s11} und {s10}
qstr_their|ihr/e
qstr_its|sein/e
qstr_[no_upkeep_costs]|[keine Unterhaltskosten]
qstr_Short_of_Resource_Po|Mangel an Ressourcenpunkten!!
qstr_{s10}_will_soon_reas|{s10} wird bald {s12} eurer Truppen abziehen!
qstr_Superior_orders_from|Höhere Befehle von {s11} zur Neuzuordnung von Truppen:
qstr_{reg12}_{s10}_left_t|{reg12} {s10} haben deine Truppe verlassen!
qstr_Fangorn_claimed_{reg|Fangorn forderte {reg0} Getötete und {reg1} Verwundete unter deinen Truppen!
qstr_You_were_wounded_in_|Du wurdest in Fangorn verwundet!
qstr_Volunteers|Freiwillige
qstr_{s1}_of_{s3}_was_def|{s1} von {s3} wurde im Kampf besiegt.
qstr_{s2}_have_razed_{s1}|{s2} hat {s1} dem Erdboden gleichgemacht!
qstr_Left_for_dead_but_mi|Tot zurückgelassen, aber wie durch ein Wunder überlebt: {reg1?{reg1}mal:NIE}
qstr_1_Res.Pt__{s2}_|1 Ressourcenpunkt ({s2})
qstr_{reg1}_Res.Pts__{s2}|{reg1} Ressourcenpunkte ({s2})
qstr_+30_to_Party_Morale|+30 zur Truppenmoral
qstr_+20_to_Party_Morale|+20 zur Truppenmoral
qstr_+1_to_Riding_Skill|+1 Reiten
qstr_+1_to_Pathfinding|+1 Spurensuche
qstr_+1_to_Athletics|+1 Athletik
qstr_Use_from|Trinke davon
qstr_Action_Menu|Aktionsmenü
qstr_+1_to_First_Aid|+1 Erste Hilfe
qstr_+1_to_Weapon_Mastery|+1 Waffenmeister
qstr_+1_to_Wound_Treatmen|+1 Wundheilung
qstr_+1_to_Tactics|+1 Taktik
qstr_+1_to_Power_Strike|+1 Schlagkraft
qstr_when_equipped|wenn ausgerüstet
qstr_+1_to_Strength|+1 Stärke
qstr_+1_to_Agility|+1 Agilität
qstr_+1_to_Leadership|+1 Führerschaft
qstr_+1_to_Power_Draw|+1 Bogenzugkraft
qstr_Turns_nature_to_your|Bringt die Wildnis auf deine Seite (Wildkunde erhöht Chance)
qstr_+1_to_Trainer|+1 Ausbilder
qstr_Recruits_Tribal_Orcs|Rekrutiert Stammeskrieger
qstr_rally|Sammelbefehl
qstr_rallies|Sammelbefehle
qstr_+{reg1}_{s3}_in_batt|+{reg1} {s3} im Gefecht
qstr_+1_to_Charisma|+1 Charisma
qstr_+1_to_Surgery|+1 Chirurgie
qstr_+1_to_Wildcraft|+1 Wildkunde
qstr_+1_to_Ironflesh|+1 Eisenhaut
qstr_+1_to_Prisoner_Mgmt|+1 Gefangenenaufsicht
qstr_+2_to_Crafting|+2 Handwerk
qstr_+3_to_Spotting|+3 Aufklärung
qstr_Less_Dunnish_upkeep|Weniger Unterhalt für Dunländer
qstr_Less_Wargs_upkeep|Weniger Unterhalt für Warge
qstr_+{reg1}_to_Party_Mor|+{reg1} zur Truppenmoral
qstr_Do_you_want_to_disem|An Land gehen?
qstr_Move_here|Hierhin bewegen
qstr_View_notes|Betrachte Notizen
qstr_Looted_your_items|Hat deine Ausrüstung geraubt
qstr_nothing|nichts
qstr_Good|Gut
qstr_Med|Mittel
qstr_Bad|Schlecht
qstr_{reg4}_killed_{reg5}|{reg4} getötet, {reg5} verwundet, {reg6} geflohen
qstr_{reg4}_killed_{reg5}_|{reg4} getötet, {reg5} verwundet
qstr_{reg4}_killed_{reg5}_r|{reg4} getötet, {reg5} geflohen
qstr_{reg4}_wounded_{reg5|{reg4} verwundet, {reg5} geflohen
qstr_killed|getötet
qstr_routed|geflohen
qstr_wounded|verwundet
qstr_{s0}^TOTAL:_{reg3}__|{s0}^GESAMT: {reg3} ({s2})
qstr_^None|^Nichts
qstr_near_the_Great_East_|nahe der Großen Oststraße, der verlassenen alten Straße
qstr_near_what_is_left_of|nahe den Überresten der Alten Waldstraße, dem uralten Zwergenpfad, der den dichten Wald durchquerte
qstr_close_to_the_Hand_sh|nahe dem Zeichen der Weißen Hand, die auf den Turm von Orthanc zeigt
qstr_in_sight_of_the_maje|in Sichtweite der ehrfurchtgebietenden Mauern von Minas Tirith, der Weißen Stadt
qstr_in_sight_of_Edoras_t|in Sichtweite von Edoras, der Hauptstadt von Rohan
qstr_in_sight_of_the_Horn|in Sichtweite der Hornburg, der großen Feste von Rohan
qstr_in_sight_of_Dol_Amro|in Sichtweite von Dol Amroth, dem Sitz der Fürsten von Belfalas
qstr_in_sight_of_the_Mora|in Sichtweite des Morannon, des Schwarzen Tors von Mordor
qstr_in_sight_of_Dol_Guld|in Sichtweite von Dol Guldur, Saurons nördlicher Festung
qstr_on_the_green_pasture|auf den grünen Wiesen und blütenübersäten Auen um Beorns Haus.
qstr_on_the_shores_of_Lak|an den Ufern des Spiegelsees, nahe dem Osttor von Moria
qstr_on_the_shores_of_the|an den Ufern des Langen Sees, in Sichtweite von Esgaroth, der Seestadt
qstr_near_the_coast_of_Go|nahe der Küste von Gondor. In der Ferne hörst du Wellen und die Schreie der Möwen.
qstr_in_the_outskirts_of_|in den Außenbereichen von Osgiliath, der ehemaligen Hauptstadt von Gondor
qstr_in_sight_of_the_entr|in Sichtweite des Tors zum Erebor, der Zwergenfestung
qstr_in_sight_of_the_dark|in Sichtweite des düstern Turms von Orthanc
qstr_near_the_Old_Ford_wh|nahe der Alten Furt, wo die Alte Waldstraße den Anduin durchquert.
qstr_near_a_big_ford_cros|nahe einer großen Furt durch den Fluss {s15}
qstr_near_a_small_ford_cr|nahe einer kleinen Furt durch den Fluss {s15}
qstr_Battle_Advantage_=_{ = "Schlachtvorteil = {reg0}."
qstr_{s9}_wants_you_to_re|{s9} wünscht, dass du seiner Armee wieder bis auf Weiteres folgst.
qstr__Being_Raided_|(Wird Geplündert)
qstr__Looted_|(Geplündert)
qstr__Under_Siege_|(Unter Belagerung)
qstr_{s3}_is_no_longer_un|{s3} wird nicht mehr länger belagert.
qstr_Enemies_spotted_near|Feinde nahe {s1} gesichtet.
qstr_Your_relation_with_{|Deine Beziehung mit {s1} hat sich verbessert.
qstr_Your_relation_with_{s|Deine Beziehung mit {s1} hat sich verschlechtert.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?war:ist derzeit} in {s3}
qstr_{s2}_{reg3?was:is}_t|{s2} reist{reg3?:e} nach {s3} und {reg4?sie:er} {reg3?war:sollte derzeit} in der Nähe von {s4}{reg3?: sein}
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?befand:befindet} sich in der Wildnis und {reg4?sie:er} {reg3?war:sollte derzeit} in der Nähe von {s4}{reg3?: sein}
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?war:ist} Gefangener in {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?wurde:wurde} von {reg4?ihren:seinen} Feinden gefangen genommen.
qstr_{reg3?{s2}_s_locatio|{reg3?{s2}s Aufenthaltsort war unbekannt:Ich weiß nicht, wo {s2} ist}.
qstr_{s6}_has_joined_your|{s6} hat sich deiner Truppe angeschlossen
qstr_elven|Elben-
qstr_dwarven|Zwergen-
qstr_orc|Ork-
qstr_uruk|Uruk-
qstr_uruk_hai|Uruk-Hai-
qstr_trollish|Troll-
qstr_man|Menschen-
qstr_riding|reitet
qstr_marching|marschiert
qstr_charging|stürmt
qstr_We_know_this_is_your|Wir wissen, dass dies Euer Land ist, {playername}.^Vertraut uns, wir sind hier um unsere gemeinsamen Feinde zu bekämpfen.
qstr_I_trust_you._{s20}_a|Ich vertraue dir. {s20} und {s21} sollten Freunde sein und einander vertrauen.
qstr_There_is_wisdom_in_y|Es liegt Weisheit in deinen Worten, {playername}.
qstr_Why_should_I?_Better|Warum sollte ich? Verlasst {s20}!
qstr_We_will_go_in_peace_|Wir werden friedlich abziehen, sobald wir unsere Mission erfüllt haben, von der ich Euch leider nichts erzählen darf.
qstr_Is_this_your_land_{p|So, dies ist dein Land, {playername}? Es stinkt!^Aber bleib ruhig, wir sind nur auf Befehl unseres gemeinsamen Herrn in {s20}.
qstr_Yes_go_on_do_whateve|Gut, zieht weiter. Tut, was immer {s22} sagt.
qstr_Of_course.|Natürlich.
qstr_I_don_t_like_this._W|Mir gefällt das nicht. Was bringt euch Haufen hierher, so weit von {s21}?
qstr_Do_you_fear_us_{play|Hast du etwa Angst vor uns, {playername} aus {s20}? Mmm, was versteckst du vor {s22}?^^Lass uns in Ruhe und niemand wird verletzt.
qstr_It_s_a_servant_of_{s|Es ist ein Diener von {s22}. Fürchte {s23}, {playername}!
qstr_Our_allies_are_you?_|Unsere Verbündeten also, ja? Ich denke, ihr dürft passieren.
qstr_And_we_shall_not_kil|Und wir werden euch nicht umbringen. Fürs Erste.
qstr_This_land_belongs_to|Dies Land gehört {s20}... {s23} hat hier nichts zu suchen.
qstr_We_will_stay_as_long|Wir bleiben so lange, wie es unser Herr befiehlt! Danke deinem Schicksal, dass wir nicht deinetwegen gekommen sind.
qstr_You_wear_the_colors_|Ihr tragt die Farben von {s20}. Was sucht Ihr hier in {s21}?^Sprecht schnell!
qstr_We_are_pursuing_our_|Wir verfolgen unsere Feinde, die auch Eure Feinde sind!
qstr_Maybe._Or_maybe_you_|Vielleicht. Oder vielleicht seid Ihr auch Spione.^Kehrt zurück, wohin Ihr gehört, Soldat von {s20}.
qstr_We_are_friends_of_{s|Wir sind Freunde von {s21}.
qstr_Time_will_tell_if_yo|Es wird sich heraussstellen, ob Ihr wahr sprecht. Es ist schwierig, in diesen Zeiten Freund und Feind zu unterscheiden.
qstr_What_are_you_doing_h|Was sucht ihr hier in {s21}, {s20}-Abschaum? Das hier ist unser Gebiet, nicht eures!
qstr_You_dare_question_di|Du wagst es, direkte Befehle von {s23} in Frage zu stellen?
qstr_Guess_not._But_I_sti|Ich denke nicht. Aber ich mags auch nicht, wenn du hier herumschnüffelst.^Ich werde dich im Auge behalten, {playername} von {s20}.
qstr_None_of_your_busines|Das geht dich nichts an, Schwein!
qstr_*growls*^You_should_|*faucht*^Du solltest froh sein, dass du für unseren Herrn kämpfst. Sonst würdest du hier nicht einfach so davon kommen.
qstr_What_are_you_doing_s|Was machst du hier, so fern von zuhause, Sklave von {s22}? Hier bestimmt {s23}!
qstr_Quiet!_I_didn_t_came|Schweig! Ich bin nicht deinetwegen hier. Dieses mal.
qstr_And_I_ve_orders_to_l|Und ich habe Befehl, dich durchzulassen. Dieses mal.
qstr_None_of_your_business|Das geht dich nichts an!
qstr_You_slaves_of_{s22}_|Ihr Sklaven von {s22} seid schwächlich! Ihr könnt froh sein, dass wir euch als Verbündete betrachten...
qstr_Look_whom_we_meet_so|Seht, wen wir hier so fern der Heimat treffen: Männer von {s20}! Ist das eine gute oder eine schlechte Neuigkeit?
qstr_{s20}_and_{s21}_figh|{s20} und {s21} kämpfen für eine gemeinsame Sache. Wir sollte in diesen feindlichen Gebieten zusammenarbeiten.
qstr_In_these_dark_times_|In diesen dunklen Zeiten kämpft jeder für sich selbst, {playername}.^Aber ich wünsche Euch eine gute Heimreise.
qstr_Neither_good_nor_bad|Weder gut noch schlecht. Unsere Aufträge gehen nur uns etwas an.
qstr_Everybody_on_his_way|Jeder auf seinem Weg, dann.
qstr_What_are_you_trying_|Was versuchst du hier, {s20}-Abschaum? Uns unsere Beute abjagen?
qstr_Ha!_Soon_there_will_|Ha! Bald wird es genug Beute für alle geben.
qstr_Yes._Unless_you_get_|Ja. Es sei denn, du wirst zuerst getötet.
qstr_You_don_t_get_any_sp|Du wirst keine Beute haben, wenn DU verreckst, Abschaum von {s21}.
qstr_Is_that_a_threat?_Be|Soll das eine Drohung sein? Sei dankbar, dass wir hier genug Feinde zum Abschlachten haben, bevor du an die Reihe kommst.
qstr_The_enemy_is_upon_us|Der Feind greift an!^
qstr_They_are_upon_us!_^|Sie greifen an! ^
qstr_{playername}_and_{hi|{playername} und {sein/ihr} Gesindel aus {s18} kommen über uns! ^
