itm_horse_meat|Pferdefleisch
itm_practice_sword|Übungsschwert
itm_arena_lance|Lanze
itm_practice_staff|Holzstab
itm_practice_bow|Übungsbogen
itm_wooden_javelin|Hölzerner Wurfspeer
itm_human_meat|Menschenfleisch
itm_maggoty_bread|Madiges Brot
itm_cram|Cram-Ration
itm_lembas|Lembas
itm_smoked_fish|Räucherfisch
itm_dried_meat|Trockenfleisch
itm_cattle_meat|Rindfleisch
itm_grain|Weizen
itm_tools|Werkzeug
itm_siege_supply|Vorräte
itm_quest_wine|Wein
itm_quest_ale|Bier
itm_metal_scraps_bad|Minderwertige Metallreste
itm_metal_scraps_medium|Benutzbare Metallreste
itm_metal_scraps_good|Hochwertige Metallreste
itm_oliphant|Olifant
itm_sumpter_horse|Lastpferd
itm_saddle_horse|Reitpferd
itm_steppe_horse|Steppenpferd
itm_courser|Renner
itm_hunter|Jagdpferd
itm_pony|Pony
itm_arnor_warhorse|Arnorisches Schlachtross
itm_dunedain_warhorse|Schlachtross der Dunedain
itm_rohirrim_courser|Renner der Rohirrim
itm_rohirrim_hunter|Jagdpferd der Rohirrim
itm_rohirrim_courser2|Renner der Rohirrim
itm_rohan_warhorse|Schlachtross der Rohirrim
itm_thengel_warhorse|Schlachtross der Thengelsreiter
itm_rhun_horse_a|Pferd aus Rhun
itm_rhun_horse_b|Pferd aus Rhun
itm_rhun_horse_d|Pferd aus Rhun
itm_rhun_horse_e|Gepanzertes Pferd aus Rhun
itm_rhun_horse_f|Gepanzertes Pferd aus Rhun
itm_rhun_horse_g|Gepanzertes Pferd aus Rhun
itm_rhun_horse_h|Gepanzertes Pferd aus Rhun
itm_dale_horse|Pferd aus Thal
itm_dale_warhorse|Schlachtross aus Thal
itm_riv_warhorse|Schlachtross aus Bruchtal
itm_riv_warhorse2|Ross aus Imladris
itm_mordor_warhorse|Schlachtross aus Mordor
itm_mordor_warhorse2|Finsteres Schlachtsross aus Mordor
itm_gondor_courser|Renner aus Gondor
itm_gondor_hunter|Jagdpferd aus Gondor
itm_dol_amroth_warhorse|Schlachtross aus Dol Amroth
itm_dol_amroth_warhorse2|Gepanzertes Schlachtross aus Dol Amorth
itm_gondor_warhorse|Schlachtross aus Gondor
itm_gondor_lam_horse|Gepanzertes Pferd aus Lamedon
itm_lorien_warhorse|Schlachtross aus Lothlorien
itm_harad_horse|Pferd aus Harad
itm_harad_warhorse|Schlachtross aus Harad
itm_variag_pony|Pony der Variags
itm_variag_kataphrakt|Schlachtross der Ostlinge
itm_warg_1b|Warg
itm_warg_1c|Warg
itm_warg_1d|Warg
itm_wargarmored_1b|Gepanzerter Warg
itm_wargarmored_1c|Gepanzerter Warg
itm_wargarmored_2b|Gepanzerter Warg
itm_wargarmored_2c|Gepanzerter Warg
itm_wargarmored_3a|Gepanzerter Warg
itm_warg_reward|Gewaltiger Warg
itm_troll_feet_boots|Trollfüße
itm_troll_head_helm|Trollkopf
itm_troll_head_helm_b|Trollkopf
itm_troll_head_helm_c|Trollkopf
itm_tree_trunk_club_a|Baumstamm
itm_tree_trunk_club_b|Baumstamm
itm_tree_trunk_invis|Baumstamm
itm_giant_hammer|Gewaltiger Hammer
itm_giant_mace|Gewaltiger Streitkolben
itm_giant_mace_b|Gewaltiger Stachelkolben
itm_olog_feet_boots|Ologfüße
itm_olog_head_helm|Ologkopf
itm_olog_head_helm_b|Ologkopf
itm_olog_head_helm_c|Ologkopf
itm_olog_body|Ologrüstung
itm_olog_body_b|Ologrüstung
itm_olog_hands|Ologhände
itm_arrows|Pfeile
itm_gondor_arrows|Pfeile von Gondor
itm_gondor_auxila_arrows|Gondorische Pfeile
itm_khergit_arrows|Widerhakenpfeile
itm_rohan_arrows_2|Rohirrische Pfeile
itm_harad_arrows|Haradrim-Pfeile
itm_corsair_arrows|Korsaren-Pfeile
itm_ithilien_arrows|Pfeile aus Ithilien
itm_woodelf_arrows|Pfeile der Waldelben
itm_elven_arrows|Elbenpfeile
itm_orc_hook_arrow|Orkische Widerhakenpfeile
itm_isengard_arrow|Pfeile von Isengart
