trp_unarmed_troop|Tropa Desarmada
trp_unarmed_troop_pl|Tropas Desarmadas
trp_tutorial_maceman|Macero
trp_tutorial_maceman_pl|Maceros
trp_tutorial_archer|Arquero
trp_tutorial_archer_pl|Arqueros
trp_tutorial_swordsman|Espadachín
trp_tutorial_swordsman_pl|Espadachines
trp_novice_fighter|Luchador Novato
trp_novice_fighter_pl|Luchadores Novatos
trp_regular_fighter|Luchador Regular
trp_regular_fighter_pl|Luchadores Regulares
trp_veteran_fighter|Luchador Veterano
trp_veteran_fighter_pl|Luchadores Veteranos
trp_champion_fighter|Luchador Campeón
trp_champion_fighter_pl|Luchadores Campeones
trp_arena_training_fighter_1|Luchador Novato
trp_arena_training_fighter_1_pl|Luchadores Novatos
trp_arena_training_fighter_2|Luchador Novato
trp_arena_training_fighter_2_pl|Luchadores Novatos
trp_arena_training_fighter_3|Luchador Regular
trp_arena_training_fighter_3_pl|Luchadores Regulares
trp_arena_training_fighter_4|Luchador Regular
trp_arena_training_fighter_4_pl|Luchadores Regulares
trp_arena_training_fighter_5|Luchador Regular
trp_arena_training_fighter_5_pl|Luchadores Regulares
trp_arena_training_fighter_6|Luchador Veterano
trp_arena_training_fighter_6_pl|Luchadores Veteranos
trp_arena_training_fighter_7|Luchador Veterano
trp_arena_training_fighter_7_pl|Luchadores Veteranos
trp_arena_training_fighter_8|Luchador Veterano
trp_arena_training_fighter_8_pl|Luchadores Veteranos
trp_arena_training_fighter_9|Luchador Campeón
trp_arena_training_fighter_9_pl|Luchadores Campeones
trp_arena_training_fighter_10|Luchador Campeón
trp_arena_training_fighter_10_pl|Luchadores Campeones
trp_cattle|Ganado
trp_cattle_pl|Ganado
trp_farmer|Granjero
trp_farmer_pl|Granjeros
trp_townsman|Ciudadano
trp_townsman_pl|Ciudadano
trp_watchman|Ciudadana
trp_watchman_pl|Ciudadanas
trp_i1_woodmen_man|Colono del Bosque
trp_i1_woodmen_man_pl|Colonos del Bosque
trp_i2_woodmen_forester|Guardián de los Bosques
trp_i2_woodmen_forester_pl|Guardianes de los Bosques
trp_i3_woodmen_skilled_forester|Guardián Experto de los Bosques 
trp_i3_woodmen_skilled_forester_pl|Guardianes Expertos de los Bosques
trp_i4_woodmen_axemen|Hachero de los Bosques 
trp_i4_woodmen_axemen_pl|Hacheros de los Bosques 
trp_i5_woodmen_night_guard|Guardia Nocturno del Bosque Negro
trp_i5_woodmen_night_guard_pl|Guardias Nocturnos del Bosque Negro
trp_a2_woodmen_tracker|Rastreador de los Bosques 
trp_a2_woodmen_tracker_pl|Rastreadores de los Bosques
trp_a3_woodmen_scout|Explorador de los Bosques 
trp_a3_woodmen_scout_pl|Exploradores de los Bosques 
trp_a4_woodmen_archer|Arquero de los Bosques 
trp_a4_woodmen_archer_pl|Arqueros de los Bosques
trp_a5_woodmen_night_stalker|Acechador Nocturno del Bosque Negro
trp_a5_woodmen_night_stalker_pl|Acechadores Nocturnos del Bosque Negro
trp_i1_beorning_man|Hombre Beórnida
trp_i1_beorning_man_pl|Hombres Beórnidas
trp_i2_beorning_warrior|Guerrero Beórnida
trp_i2_beorning_warrior_pl|Guerreros Beórnidas
trp_i3_beorning_tolltacker|Cobrador de Peaje Beórnida
trp_i3_beorning_tolltacker_pl|Cobradores de Peaje Beórnidas
trp_i4_beorning_sentinel|Centinela Beórnida
trp_i4_beorning_sentinel_pl|Centinelas Beórnidas
trp_i5_beorning_warden_of_the_ford|Guardián Beórnida del Vado
trp_i5_beorning_warden_of_the_ford_pl|Guardianes Beórnidas del Vado
trp_i3_beorning_carrock_lookout|Vigía Beórnida de Carroca 
trp_i3_beorning_carrock_lookout_pl|Vigías Beórnidas de Carroca 
trp_i4_beorning_carrock_fighter|Luchador Beórnida de Carroca
trp_i4_beorning_carrock_fighter_pl|Luchadores Beórnidas de Carroca 
trp_i5_beorning_carrock_berserker|Berserker Beórnida de Carroca 
trp_i5_beorning_carrock_berserker_pl|Berserkers Beórnidas de Carroca 
trp_i1_dale_militia|Miliciano de Valle
trp_i1_dale_militia_pl|Milicia de Valle
trp_i2_dale_man_at_arms|Hombre de Armas de Valle
trp_i2_dale_man_at_arms_pl|Hombres de Armas de Valle
trp_a2_dale_scout|Explorador de Valle
trp_a2_dale_scout_pl|Exploradores de Valle
trp_a3_dale_bowman|Hombre con Arco de Valle
trp_a3_dale_bowman_pl|Hombres con Arco de Valle
trp_a4_dale_archer|Arquero de Valle
trp_a4_dale_archer_pl|Arqueros de Valle
trp_a5_barding_bowman|Arquero Bárdido
trp_a5_barding_bowman_pl|Arqueros Bárdidos
trp_i3_dale_swordsman|Espadachín de Valle
trp_i3_dale_swordsman_pl|Espadachines de Valle
trp_i4_dale_sergeant|Sargento de Valle
trp_i4_dale_sergeant_pl|Sargentos de Valle
trp_i5_dale_hearthman|Guardián del Hogar de Valle
trp_i5_dale_hearthman_pl|Guardianes del Hogar de Valle
trp_i3_dale_spearman|Lancero de Valle
trp_i3_dale_spearman_pl|Lanceros de Valle
trp_i4_dale_billman|Archero de Valle
trp_i4_dale_billman_pl|Archeros de Valle
trp_i5_dale_bill_master|Maestro Archero de Valle
trp_i5_dale_bill_master_pl|Maestros Archeros de Valle
trp_c2_rhovanion_retainer|Vasallo Norteño
trp_c2_rhovanion_retainer_pl|Vasallos Norteños
trp_c3_rhovanion_auxilia|Auxiliar Norteño
trp_c3_rhovanion_auxilia_pl|Auxiliares Norteños
trp_c4_rhovanion_rider|Jinete de Rhovanion
trp_c4_rhovanion_rider_pl|Jinetes de Rhovanion
trp_ac5_rhovanion_marchwarden|Guardián de la Frontera de Rhovanion
