menu_start_game_1|Apa yang kamu perjuangkan?
mno_start_good|Permulaan Era Baru
mno_start_evil|the TWILIGHT of Man
mno_faction_intros|Pelajari tentang faksi di Dunia Tengah
mno_go_bback|Kembali
menu_start_phase_2|^^^^^ Dunia Tengah. Bayangan sedang tumbuh di Timur, ^ dan hal-hal kegelapan yang telah lama bersembunyi muncul ke muka. ^ Rakyat merdeka bersiap untuk perang, yang mana belum terlihat untuk masa. ^ Manusia, Elf, dan para Orc; Semuanya akan ikut bagian. ^^ Apa bagian, bagian apa yang masih harus dilihat...
mno_go_forth|Pergilah ke jalan yang kamu pilih...
mno_change_tld_options|Tukar TLD opsi.
menu_start_game_3|^^^^^^^^Pilih skenariomu:
mno_custom_battle_scenario_1|Skirmish, Faksi Gondor vs Harad
mno_custom_battle_scenario_12|Pilih faksi untuk bertempur
mno_custom_battle_scenario_3|Skirmish, Elf vs Black Numenoreans
mno_custom_battle_scenario_4|Helms Deep Defense, Rohan vs Isengard
mno_custom_battle_scenario_5|Skirmish, North factions vs Rhûn
mno_custom_battle_scenario_6|Serang pengepuangan, Orcs vs Dwarves
mno_custom_battle_scenario_7|Penyergapan, Orcs vs Mirkwood
mno_custom_battle_scenario_8|Pertahanan terakhir rakyat Durin
mno_custom_battle_scenario_88|Mengejar seekor Orc Scout Parti
mno_custom_battle_scenario_11|Uji pertempuran (Laraskan Keseimbangan!)
mno_custom_battle_scenario_10|Uji scenery battle
mno_troll_battle_scenario|Uji Pertempuran Troll
mno_warg_battle_scenario|Uji Pertempuran Warg
mno_build_your_own_scene|Buat adegan kamu sendiri untuk TLD
mno_go_back|Kembali
menu_tutorial|^^ Selamat datang di Tutorial Bertempur Mount and Blade. Di sini kamu akan belajar dasar-dasar bertempur, serta tinjauan singkat mengenai cara aba-aba selama pertempuran berlangsung di lapangan.
mno_tutorial_1|Gerakan dasar dan pemilihan senjata. {s1}
mno_tutorial_2|Bertarung dengan perisai. {s2}
mno_tutorial_3|Bertarung tanpa perisai. {s3}
mno_tutorial_3b_door|level berikutnya
mno_tutorial_4|Tunggang seekor kuda atau seekor Warg. {s4}
mno_tutorial_5|Perintahkan sekelompok tentara. {s5}
mno_go_back_dot|Kembali.
mno_action_view_troop_trees|Lihat cabang-cabang pasukan.
mno_view_upkeep_costs|Lihat biaya pemeliharaan/gaji.
mno_view_character_report|Lihat laporan karakter.
mno_view_party_size_report|Lihat laporan ukuran parti.
mno_view_morale_report|Lihat laporan moral parti.
mno_view_character_report_02|Cek status NPC.
mno_view_faction_strengths_report|Lihat laporan kekuatan fraksi.
mno_view_traits_report|Lihat traits.
mno_resume_travelling|Lanjutkan perjalanan.
mno_custom_battle_go|Mulai.
mno_leave_custom_battle_2|Batal.
menu_custom_battle_end|^^^^^^Pertempuran telah berakhir. {s1} Pihakmu berhasil membunuh  {reg5} musuh dan kehilangan  {reg6} tentara selama pertempuran.^Anda sendiri berhasil membantai  {reg7} lawan ketika bertarung.
mno_replay|Ulang kembali pertempuran.
mno_continue_dot|Lanjutkan.
menu_custom_battle_durin_end|^^^^^^Sungguh perjuangan yang heroik, namun pada akhirnya berakhir tragis.^^ Kamu dan rekanmu telah membunuh {reg5} musuh.^kamu sendiri berhasil menghabisi {reg7} musuh ketika sedang bertempur.
mno_replay_cbd|Ulang kembali pertempuran.
mno_continue_dot_cbd|Lanjutkan.
mno_dot_go_back|Kembali.
menu_start_good|^^^^^^^^^^Pilih ras kamu:
mno_start_ma|MANUSIA
mno_start_el|ELF
mno_start_dw|KURCACI
menu_start_evil|Siapa yang kamu layani?
mno_start_eye|SAURON dari Mordor, the Lord of the Rings
mno_start_hand|SARUMAN dari Isengard, the White Hand
menu_start_eye|^^^^^^^^^Tuanmu adalah the Lidless Eye^Pilih ras kamu
mno_start_or|ORC, melayani the Lidless Eye
mno_start_ur|URUK, generasi baru Orcs
mno_start_em|MANUSIA, ditaklukkan oleh Suaron
menu_start_hand|^^^^^^^^^Tuanmu adalah the White Hand^Pilih ras kamu
mno_start_whor|ORC, melayani the White Hand
mno_start_isur|satu dari URUK-HAI, dibesarkan di Isengard
mno_start_duma|Manusia dari Dunland, the Western Plains
menu_start_good_man|^^^^^^^^^^Pilih orang kamu:
mno_start_go|GONDOR, Kerajaan dari The White Tower
mno_start_ro|ROHAN, Orang-orang Penunggang Berkuda
mno_start_du|DUNEDAIN, Dinasti Kuno Manusia
mno_start_be|BEORNINGS, Orang-orang Manusia Beruang
mno_start_wo|WOODMEN, dari atas Mirkwood
mno_start_da|Kerajaan DALE utara
menu_start_good_elf|^^^^^^^^^^Mau di Hutan mana kamu tinggal, Elder?
mno_start_ri|RIVENDELL, Raja Elrond
mno_start_lo|LOTHLORIEN, Putri Galadriel
mno_start_mi|MIRKWOOD, Tanah dari the Silvan Elves
menu_start_good_dwarf|^^^^^^^^^^Pilih silsilah Anda:
mno_start_er|Seorang penghuni EREBOR
mno_start_ih|Seorang penambang IRON HILLS
menu_start_gondor|^^^^^^^^^^Mau dari mana kamu berasal, di Gondor?
mno_start_mt|MINAS TIRITH, Ibu Kota Gondor
mno_start_ls|LOSSARNACH, Teritori Kekuasaan Axemen
mno_start_la|LAMEDON, Teritori Kekuasaan Klan Orang Gunung
mno_start_pg|PINNATH GELIN, Teritori Kekuasaan Green Hills
mno_start_do|DOL AMROTH, Teritori Kekuasaan Ksatria Angsa
mno_start_pe|PELARGIR, Teritori Pinggiran Pesisir
mno_start_bl|BLACKROOT VALE, Teritori Kekuasaan Pemanah
menu_start_eye_man|^^^^^^^^^^Pilih orang kamu:
mno_start_hr|HARADRIM, kaum padang pasir dari Selatan
mno_start_bn|Black NUMENOREANS, komplotan pemberontak dari Barat
mno_start_um|UMBAR, kawanan perompak dari Lautan Selatan
mno_start_rh|RHUN, bangsa barbar dari Timur
mno_start_kh|KHAND, kaum bengis biadab dari Tenggara
menu_start_eye_uruk|^^^^^^^^^^Dimana kamu mengintai?
mno_start_arm_uruk|dalam pasukan yang dikumpulkan di MORDOR
mno_start_cav_uruk|di gua DOL GULDUR
menu_start_eye_orc|^^^^^^^^^^Dimana kamu mengintai?
mno_start_arm|dalam pasukan yang dikumpulkan di MORDOR
mno_start_cav|di gua DOL GULDUR
menu_start_hand_orc|^^^^^^^^^^Dimana kamu mengintai?
mno_start_armis|di Angkatan Darat yang dikumpulkan di ISENGARD
mno_start_minmo|di Tambang MORIA
mno_start_cliff|di tebing Gunung GUNDABAD
menu_start_gondor_mt|^^^^^^^^^^Tentukan Garis Keturunanmu
mno_start_1_com|Rakyat biasa
mno_start_2_hib|Bangsawan
menu_start_haradrim|^^^^^^^Anda adalah salah satu Haradrim,^Manusia Gurun.^Pilih jalur Anda
mno_start_1_des|Manusia Gurun
mno_start_2_far|Anggota Suku Harad Jauh
menu_start_numenorean|^^^^^^^Anda adalah seorang Numenor Hitam,^setia pada Kegelapan dan Morgoth.^Pilih di mana Anda melayani Mata
mno_start_1_bn|Di sebelah Mulut Sauron, di MORANNON
mno_start_2_bn|Di Benteng Necromancer, DOL GULDUR
menu_choose_gender|Apa kelaminmu?
mno_start_male|Pria
mno_start_female|Perempuan
mno_proc|Terus lanjut
menu_start_as_one|^^^^^^^^^^Tentara seperti apakah kamu?
mno_start_default|Menjadi seperti {s23} (Bawaan)
mno_start_up1|Menjadi seperti {s21} (Mudah)
mno_start_up2|Menjadi seperti {s22} (Mudah)
mno_continue|Lanjut...
menu_character_report|^^^^^Moral Grup: {reg8}^Batas Keanggotaan Grup: {reg7}^{s5}
menu_camp|^^^^Kamu berada di {s1}.{s2}^^Apa yang ingin kamu lakukan?
mno_camp_scene|Jalan-jalan dulu di sekitar
mno_camp_troop|Meninjau{reg10? troops:}{reg12? and:}{reg11? prisoners:}.
mno_camp_action|Menggunakan suatu barang.
mno_camp_wait_here|Berkemah sejenak disini.
mno_camp_options|Tukar TLD opsi.
mno_Dev_Menu|Menu Developer
menu_dev_menu|Berikut merupakan Opsi Development yang menyediakan cheat/sarana lain dalam bermain.^^ Tetapi perlu diingat, bahwa aksi ini akan berdampak kepada perubahan event, trigger, dan campaign berlangsung yang mungkin menyebabkan error ketika bermain.^^ Gunakan dengan resiko ditanggung sendiri! ^^ Selain itu, ketika melaporkan sebuah bug, mohon informasikan kepada kami bahwa kamu sedang menggunakan Menu Dev.
mno_Cheat_enable|Aktifkan Cheat/MOD opsi
menu_game_options|^^^^^^^^Pilih pada opsi untuk mengaktifkan:
mno_game_options_war_level_start|Perang Dimulai pada Level: {s1}
mno_game_options_restrict_items|Perlengkapan pemain yang dibatasi: {s7}
mno_game_options_formations|Formasi pertempuran dan AI: {s7}
mno_game_options_siege_ai|Sistem Pengepungan Mutakhir AI: {s7}
mno_game_options_town_menu|NPC di kota selalu dapat diakses melalui Menu: {s7}
mno_game_options_cutscenes|Cutscene: {s7}
mno_game_options_injuries|Sistem luka/cedera bagi teman pendamping: {s7}.
mno_game_options_death|Kematian abadi bagi para raja/ratu dan teman pendamping: {s7}.
mno_game_options_death2|Kematian abadi bagi pemain (itu berarti KAMU!): {s7}.
mno_game_options_morale|Sistem moral dalam pertempuran: {s7}
mno_game_options_animal_ambushes|Aksi penyergapan oleh binatang: {s7}
mno_game_options_horse_ko|Pesan kerusakan pengendara yang terjatuh: {s7}
mno_game_options_bright_nights|Malam Terang Benderang: {s7}
mno_game_options_camera_pref|Mode kamera yang diingini: {s7}
mno_game_options_tweaks|Gameplay tweaks...
mno_game_options_back|Kembali ke Camp Menu
mno_game_options_start_back|Kembali.
menu_camp_tweaks|^^^^^^^^Pilihlah opsi yang ingin kamu sesuaikan.
mno_tweak_options_compat|Perubahan kompatibilitas...
mno_tweak_options_strat|Perubahan strategi...
mno_tweak_options_battlefield_ai|Perubahan AI Battlefield...
mno_tweak_options_back|Kembali ke menu opsi.
menu_camp_compat_tweaks|^^^^^^^^Pilih pada opsi untuk mengubah (tahan shift untuk mengurangi):^(opsi berikut digunakan untuk kompabilitas dan bukan merupakan sebuah cheat)
mno_game_options_compat_party|Jumlah maksimal grup: {s1}
mno_game_options_compat_back|Kembali ke menu tweak.
menu_camp_strat_tweaks|^^^^^^^^Pilih pada opsi untuk mengaktifkan:^(Peringatan: opsi berikut merupakan cheat!)
mno_strat_tweaks_siege_reqs|Ketentuan kekuatan pengepungan yang dibutuhkan: {s7}
mno_strat_tweaks_siege_relax_rate|Pengepungan str. permintaan. tingkat relaksasi: {reg1}
mno_strat_tweaks_regen_rate|Tingkat pemulihan kekuatan: {s7}
mno_strat_tweaks_siege_regen_limit|Pemulihan kekuatan faksi disesuaikan pada: {reg1}
mno_strat_tweaks_influence_gain_rate|Tingkat perolehan reputasi: {s7}
mno_strat_tweaks_rank_gain_rate|Tingkat perolehan rank: {s7}
mno_strat_tweaks_back|Kembali ke menu tweak.
menu_camp_action|^^^^^^^^^     Barang apa?
mno_camp_drink_water|Teguklah Air Ent!
mno_camp_drink_orc_brew|Bagikanlah Bir Orc!
mno_camp_drink_miruvor|Bagikanlah Miruvor!
mno_camp_use_athelas|Gunakan Athelas untuk pengobatan luka.
mno_camp_use_drums|Tabuhlah Genderang dari Deep.
mno_camp_action_4|Kembali.
menu_assasins_attack_player_won|Kamu telah berhasil mengalahkan para pembunuh dari {s2}, yang diutus oleh {s3}. 
menu_assasins_attack_player_retreat|Kamu berhasil menyelamatkan diri!
menu_fangorn_danger|^^^^^^Suara absurd dan meresahkan terdengar di sekitarmu.^Apakah pepohonan ini sedang berbicara?Terasa amarah mendalam dan lara dalam hawa.^Komandomu?
mno_be_quiet_elf|Hormati aura negatif dari para pohon. Mari bergerak dengan tenang.
mno_be_quiet|Letakkan senjata dan tetap hening! Mari keluar dari sini sekarang!
mno_be_bold|Teruskan! Aku tidak takut akan tumbuhan-tumbuhan serta mitos-mitos tua!
mno_fight_back|Mari kita cari tahu! Cari di area tersebut! Bakar satu atau dua pohon! (Kamp)
menu_fangorn_search_fails|^^^^^^Anda mencari di hutan yang gelap dan lebat namun tidak menemukan apa pun.^Tetap saja, Anda semakin merasa diperhatikan dan terancam.
menu_fangorn_killed_player_only|^^^^^^Kamu mengembara di tengah hutan yang lebat dan gelap.^Tiba-tiba kamu tertimpa sesuatu! Mungkin ada dahan yang berat menimpa kepala Anda?^Anda hanya tidak sadarkan diri selama beberapa menit. Anda terluka parah tetapi Anda bisa melanjutkan.
mno_ow_get_out|Aduh! Ayo keluar dari tempat terkutuk ini!
menu_fangorn_killed_troop_and_player|^^^^^^Kamu mengembara di dalam hutan yang lebat dan gelap.^^Tiba-tiba kamu tertimpa sesuatu! Mungkin ranting yang berat menimpa kepala Anda.^^Ketika Anda pulih, beberapa menit kemudian, Anda menyadari bahwa tidak semua pasukan Anda seberuntung itu.^^
menu_fangorn_killed_troop_only|^^^^^^^^Anda mengembara di hutan yang lebat dan gelap. Pasukanmu ketakutan.^^ Tiba-tiba, kamu mendengar teriakan dari belakang! Anda bergegas kembali, hanya untuk menemukan beberapa pasukan Anda tergeletak di tanah, dalam genangan darah.^^Beberapa lainnya tidak dapat ditemukan...
