ip_formations_and_morale|Formacije i Moral
ip_formations_and_morale_text|Vase trupe ce se namestiti same i drzace poziciju na pocetku svatke bitke, umesto da napadnu. Samo glavne fakcije (skih 18) koriste formacije (dezerteri takodje). Postoji razlikai izmedju dobrih i zlih fakcija. Dobra pseadija ce formiradi shield wall, dok ce zla formirati rankove. Formacija samo radi u Field bitkama. Kada god pritisnete "Hold" ili "Drzi Poziciju" trupe ce se namestiti tako da: pesadija bude na levoj strani,konjica na desnij a strelci u centar. Hotkeys glase: J za rankove , K za Oruzane rankove (shieldwall,phananx),L sa wedge, dok ce konjica uvek biti u Wedge formaciji. Sto vise gubitka imas, moral ce biti losiji, Ako ubijas vise neprijatelja, tvoji vojnici ce se boriti bolje. ako tvoje trupe beze, samo pritisni V. Time ces ih ohrabriti, ali pazi, to mozes raditi samo par puta
ip_economy|Ekonomija
ip_economy_text|U TLD nema novca. Tako da cete morati za budete u bolim odnisima sa fakicjama - prikazani kao resurski. Infulence i rank.^^Resursi su sta vam treba da podrzavate fakricu u rati - mozete ga dobiti prodavajicu ostakte od bitke i iteme koje vec imate. Us pomoc toga mozete imati vojnike,opremu,konje i uz pomoc toga mozete pobetidi tee bitke. Kasnije cete imati bolji rank - to oznacava vise trupa , nedeljni novac itd.^^Rank poeni vam omogucavaju bolju opremu.^Da bo bo;e sve po lore, nije moguce imati drugacije oblacenje izmedju fakcija. Umesto looted itemsa imate "metal scraps".
ip_war_of_the_ring|Rat Prstena
ip_war_of_the_ring_text|Kada zapocnete igru rat prstena izmedlju dobra i zla jos nije poceo. Bicete obavesteni o tome kada pocne.Na pocetku, srednja semlja izgleda mirna, ali kada poce rat postaje veoma negosoljubivo mesto. Budte spremni i koristite ovo malo mirnih dana. Mozete raditi zadatke od lordova i vodja od svih prijateljskih fakcija, povecavati trupe, i level-upovati se.^^Rat, sam po sebi se moze dobiti ili izgubiti, za rasliku u obicnom M&B. Svaka fakcija ima svoj rejting moci - koji se menja u zavisnosti od bitaka. Kada moc padne veoma puno, postaje moguce da neprijateljska fakcija opseda grad.^^Bitno je da zapamtite da vi ne mozete opsedati, ves to samo mogu vasi lordovi.^^Postoji nekoliko mesta u TLD po geografiji. Kada jedna strana eliminise drugu, poslace ekspedicionu grupu koja ce pomagati prijateljima. Ako su sve dobre sile pobedjenje,i samo Mordor i Isengard ostaju, onda ce se oni boriti
ip_starting_tips|Pocetne Stvari
ip_starting_tips_text|Vi birate vasu fakciju po startu igre i nemozete je posle menjati. Takodje mozete birati rasu kojoj cete pripadati. Ta rasa vam moze smetati po nekim osobinama. Nparimer, mali orkovi nemogu da nose opremu velikih , ali mogu da jasu nesto sto oni nemogu.^^Ovo nije nacinjeno da bi bilo balansirano.Takodje, igranje sa slabijim fakcijama moze biti veoma teze.^^Kada izaberete fakciju, boricete se sa njom do kraja, a ako ona izgubi, onda cete se boriti sa saveznicima.^^Najlaksi nacin da dobijete bolji Rank je da radite misije.
ip_rumours_and_legendary_places|Glasine i Legendarna Mesta
ip_rumours_and_legendary_places_text|Pricajuci sa ljudima u naseobima, mozes nauciti o njihovim vodjama. Tu je cesto lore a moguce je da osvojite i specijalne lokacije na world map. Neke su samo za istrazivanje i nesluze nicemu drugom, dok druge sadrze razne trikove i specijalne iteme. Kada osvojite jednu, imacete poruku.
ip_trolls|Trolovi
ip_trolls_text|Trolovi su veoma mocni, ali ih je nemoguce jednostavno regrutovati. Ali postoji i drugi nacim za sovajanje trolova.\nTrolovi neslusaju naredbe, pa drzite svoje trupe podalje od njih.^^Ako trazite trolove za misliju, mozete ih lako naci oko naseobina (mada ih vasi prijatelji mogu oterati) ili ih mozete naci oko Misty Mountains.
