skl_trade|議價
skl_trade_desc|能夠更好地與鐵匠和補給官合作，使他們提供更好的裝備。(隊伍技能)
skl_leadership|統御
; skl_leadership_desc|Every point increases maximum number of troops you can command by 5 (3 for companions), increases your party morale and coherence in battle. Makes more and stronger volunteers willing to follow you. (Personal skill)
skl_prisoner_management|俘虜管理
skl_prisoner_management_desc|每點增加俘虜上限%d。(領袖技能)
skl_persuasion|綠野仙蹤
skl_persuasion_desc|在荒野中生存並將其轉為助力的能力。這個技能影響隊伍在樹林中躲避敵人的能力和移動速度。 (隊伍技能)
skl_engineer|-----
skl_engineer_desc|-----
skl_first_aid|急救
skl_first_aid_desc|每點可重拾任務中失去的5%%生命值。 (隊伍技能)
skl_surgery|手術
skl_surgery_desc|每點增加4%%的機會，使得本來會死亡的隊伍成員保住性命。 (隊伍技能) 
skl_wound_treatment|療傷
skl_wound_treatment_desc|每點增加隊伍生命值回復速度20%%。 (隊伍技能)
skl_inventory_management|物品管理
skl_inventory_management_desc|每點增加物品欄容量+6格。 (領袖技能)
skl_spotting|偵察
skl_spotting_desc|每點增加隊伍偵察範圍10%%。 (隊伍技能) 
skl_pathfinding|尋路
skl_pathfinding_desc|每點增加隊伍地圖移動速度3%%。 (隊伍技能) 
skl_tactics|戰術
; skl_tactics_desc|Improves battle advantage. Increases battle join distance for enemy parties and decreases battle join distance for friendly parties by 3% per level. (Leader skill)
skl_tracking|跟踪
skl_tracking_desc|從足跡中能發現更多的信息。 (隊伍技能) 
skl_trainer|教練
skl_trainer_desc|每天每位有該項技能的英雄會給其它比他/她等級低的隊伍成員傳授經驗值。經驗值依次為： {0，4，10，16，23，30，38，46，55，65，80}。 (個人技能) 
skl_looting|掠奪
skl_looting_desc|提高戰鬥之後得到戰利品的數量和品質。(隊伍技能)
skl_horse_archery|騎射
skl_horse_archery_desc|減少在馬背上射箭與投擲的精度和傷害減益。 (個人技能) 
skl_riding|騎術
skl_riding_desc|可以騎更好的馬 (或其他野獸) ，提高騎行速度和操縱。 (個人技能) 
skl_athletics|運動
skl_athletics_desc|提高跑步速度。 (個人技能) 
skl_shield|盾防
skl_shield_desc|減少盾的損壞程度 (每點減少8%%) ，提高盾的格擋速度和覆蓋範圍，減少持弓配盾的減益。 (個人技能) 
skl_weapon_master|武器掌握
skl_weapon_master_desc|讓武器熟練度提升的更快並且提高武器熟練度的上限。上限依次為：60，100，140，180，220，260，300，340，380，420。 (個人技能) 
skl_power_draw|強弓
skl_power_draw_desc|角色可以使用更強力的弓。 (最高有效等級不超過弓的等級加四) 每點增加弓箭傷害14%%。 (個人技能) 
skl_power_throw|強擲
skl_power_throw_desc|每點增加10%%的投擲傷害。 (個人技能) 
skl_power_strike|強擊
skl_power_strike_desc|每點增加8%%的進戰傷害。 (個人技能) 
skl_ironflesh|鐵骨
skl_ironflesh_desc|每點增加2生命值，並能讓你無傷抵禦一些傷害。(個人技能)
