hint_1|Το Άσπρο Χέρι δεν πρέπει να εμπιστεύεται πολύ το Γυμνό Μάτι, ούτε το αντίθετο.
hint_2|Ποιον πολεμάς, ποιον βοηθάς, και πού γίνεται μια μάχη, καθορίζει ποιο φιλικό βασίλειο θα προσέξει και ίσως εκτιμήσει τις προσπάθειές σου.
hint_3|Οι ανιχνευτές είναι η πηγή πληροφοριών για ένα βασίλειο, όπως και οι αιχμάλωτοι που τους πηγαίνουν στα μπουντρούμια για βασανιστήρια και ανάκριση. Ελευθερώνοντας φυλακισμένους και αναθέτοντας κατασκόπους, μπορεί να τυφλώσει τους εχθρούς.
hint_4|Να θυμάσαι ότι έχεις διαφορετικό αριθμό από Πόρους για το κάθε βασίλειο, που σου επιτρέπουν να ανεφοδιάζεσαι με εξοπλισμό και στρατό σε αυτό το βασίλειο.
hint_5|Η στρατιωτική καταστροφή ενός βασιλείου είναι μη αναστρέψιμη. Για τη Μόρντορ δεν συμβαίνει αυτό, αλλά ο πόλεμος θα τελειώσει αν η στρατιωτική της δύναμη περιοριστεί και όλοι  οι σύμμαχοί της ηττηθούν.
hint_6|Απαιτείται ένα καθαρό μυαλό (INT - εξυπνάδα) για να αποφευχθεί ο πανικός από έναν Νάζγκουλ. Χρειάζεται άψογος έλεγχος του αλόγου σου για μην πανικοβληθεί.
hint_7|Μπορείς να ξεκουραστείς οπουδήποτε στον χάρτη, κρατώντας πατημένο το space. Παρόλ'αυτά, τα χτυπημένα μέλη της ομάδας σου, γιατρεύονται πιο γρήγορα όταν ξεκουράζεσαι σε πόλεις.
hint_8|Για να πάρεις και να δώσεις γρήγορα αντικείμενα από τα πράγματά σου, κράτα πατημένο το control καθώς κάνεις αριστερό κλικ.
hint_9|Μπορείς να φύγεις αμέσως από οποιαδήποτε τοποθεσία πατώντας το Tab, και πατώντας το Backspace κατά τη διάρκεια μιας μάχης ανοίγει το μενού των εντολών.
hint_10|Τα ζώα πανικοβάλονται κοντά σε τρολλ και όλογκ-χάι. Πρόσεχε!
hint_11|Η στρατιωτική δύναμη αντιπροσωπεύει ένα σημαντικό μέρος των πόρων ενός βασιλείου: το να παίρνεις και να έχεις στρατιώτες υπό τις διαταγές σου, καταναλώνει Πόρους της ανάλογης φατρίας.
hint_12|Μπορείς να δώσεις εντολές στην ομάδα σου κατά τη διάρκεια μιας μάχης. Μπορείς να κρατήσει πατημένο το Shift για να εστιάσεις καθώς στοχεύεις σε μακρινούς εχθρούς.
