fac_no_faction|Καμία φατρία
fac_commoners|Απλοί πολίτες
fac_outlaws|Ληστές και άγριοι
fac_gondor|Γκόντορ
fac_dwarf|Έρεμπορ
fac_rohan|Ρόχαν
fac_mordor|Μόρντορ
fac_isengard|Άισενγκαρντ
fac_lorien|Λοθλόριεν
fac_imladris|Ιμλάντρις
fac_woodelf|Το Βασίλειο του Δάσους
fac_dale|Ντέιλ
fac_harad|Χάραντ
fac_rhun|Ρουν
fac_khand|Καντ
fac_umbar|Άμπαρ
fac_moria|Μόρια
fac_guldur|Ντολ Γκούλντουρ
fac_gundabad|Βουνό Γκούνταμπαντ
fac_dunland|Ντούνλαντ
fac_beorn|Η κοιλάδα του Άντουϊν
fac_player_supporters_faction|Φατρία του παίκτη
fac_player_faction|Φατρία του παίκτη
fac_brigands|Ληστές
fac_tribal_orcs|Άγρια Ορκ
fac_innocents|Αθώοι
fac_merchants|Έμποροι
fac_manhunters|Ανθρωπο-κυνηγοί 
fac_deserters|Λιποτάκτες
fac_mountain_bandits|Ληστές των βουνών 
fac_forest_bandits|Ληστές του δάσους
