itm_horse_meat|馬肉
itm_practice_sword|練習用の剣
itm_arena_lance|ランス
itm_practice_staff|木の杖
itm_practice_bow|練習用の弓
itm_wooden_javelin|木の投げ槍
itm_human_meat|人肉
itm_maggoty_bread|ウジのわいたパン
itm_cram|クラム糧食
itm_lembas|レンバス
itm_smoked_fish|魚の燻製
itm_dried_meat|干し肉
itm_cattle_meat|牛肉
itm_grain|小麦
itm_tools|工具
itm_siege_supply|補給物資
itm_quest_wine|葡萄酒
itm_quest_ale|エール
itm_metal_scraps_bad|低質の鉄くず
itm_metal_scraps_medium|普通の鉄くず
itm_metal_scraps_good|上質な鉄くず
itm_oliphant|オリファント
itm_sumpter_horse|荷馬
itm_saddle_horse|乗用馬
itm_steppe_horse|ステップ馬
itm_courser|コーサー
itm_hunter|ハンター
itm_pony|ポニー
itm_arnor_warhorse|アルノリアン軍馬
itm_dunedain_warhorse|ドゥネダイン軍馬
itm_rohirrim_courser|ロヒアリムコーサー
itm_rohirrim_hunter|ロヒアリムハンター
itm_rohirrim_courser2|ロヒアリムコーサー
itm_rohan_warhorse|ロヒアリム軍馬
itm_thengel_warhorse|センゲル近衛軍馬
itm_rhun_horse_a|リューン馬
itm_rhun_horse_b|リューン馬
itm_rhun_horse_d|リューン馬
itm_rhun_horse_e|リューン重馬
itm_rhun_horse_f|リューン重馬
itm_rhun_horse_g|リューン重馬
itm_rhun_horse_h|リューン重馬
itm_dale_horse|デール馬
itm_dale_warhorse|デール軍馬
itm_riv_warhorse|リヴェンデル軍馬
itm_riv_warhorse2|イムラドリス馬
itm_mordor_warhorse|モルドール軍馬
itm_mordor_warhorse2|モルドール不吉の軍馬
itm_gondor_courser|ゴンドールコーサー
itm_gondor_hunter|ゴンドールハンター
itm_dol_amroth_warhorse|ドル・アムロス軍馬
itm_dol_amroth_warhorse2|ドル・アムロス重軍馬
itm_gondor_warhorse|ゴンドール軍馬
itm_gondor_lam_horse|ラメドン重馬
itm_lorien_warhorse|ロスロリエン軍馬
itm_harad_horse|ハラド馬
itm_harad_warhorse|ハラド軍馬
itm_variag_pony|ヴァリアグポニー
itm_variag_kataphrakt|東夷軍馬
itm_warg_1b|ワーグ
itm_warg_1c|ワーグ
itm_warg_1d|ワーグ
itm_wargarmored_1b|重装ワーグ
itm_wargarmored_1c|重装ワーグ
itm_wargarmored_2b|重装ワーグ
itm_wargarmored_2c|重装ワーグ
itm_wargarmored_3a|重装ワーグ
itm_warg_reward|巨大ワーグ
