imod_plain|簡素な%s
imod_cracked|ひびの入った%s
imod_rusty|錆びた%s
imod_bent|曲がった%s
imod_chipped|欠けた%s
imod_battered|くたびれた%s
imod_poor|粗悪な%s
imod_crude|粗末な%s
imod_old|古ぼけた%s
imod_cheap|安っぽい%s
imod_fine|上等な%s
imod_well_made|造りの良い%s
imod_sharp|切れ味の良い%s
imod_balanced|調整済みの%s
imod_tempered|鍛え抜かれた%s
imod_deadly|一撃必殺の%s
imod_exquisite|精巧な%s
imod_masterwork|完璧な%s
imod_heavy|重量級の%s
imod_strong|強化された%s
imod_powerful|強力な%s
imod_tattered|ぼろぼろの%s
imod_ragged|くたびれた%s
imod_rough|古びた%s
imod_sturdy|頑丈な%s
imod_thick|厚手の%s
imod_hardened|補強をした%s
imod_reinforced|丈夫な%s
imod_superb|素晴らしい%s
imod_lordly|最上級の%s
imod_lame|足をくじいた%s
imod_swaybacked|体の曲がった%s
imod_stubborn|頑強な%s
imod_timid|臆病な%s
imod_meek|おとなしい%s
imod_spirited|気性の強い%s
imod_champion|最高の%s
imod_fresh|新鮮な%s
imod_day_old|昨日の%s
imod_two_day_old|おとといの%s
imod_smelling|くさい%s
imod_rotten|くさった%s
imod_large_bag|増量した%s
