fac_no_faction|所属ファクションなし
fac_commoners|平民
fac_outlaws|野盗
fac_gondor|ゴンドール
fac_dwarf|エレボール
fac_rohan|ローハン
fac_mordor|モルドール
fac_isengard|アイゼンガルド
fac_lorien|ロスロリエン
fac_imladris|イムラドリス
fac_woodelf|闇の森のエルフ
fac_dale|デール
fac_harad|ハラド
fac_rhun|リューン
fac_khand|ハンド
fac_umbar|ウンバール
fac_moria|モリア
fac_guldur|ドル・グルドゥア
fac_gundabad|グンダバド
fac_dunland|褐色人
fac_beorn|ビヨルン一党
fac_player_supporters_faction|プレイヤーファクション
fac_player_faction|プレイヤーファクション
fac_brigands|野盗
fac_tribal_orcs|オークの部族
fac_innocents|罪のない人々
fac_merchants|商人
fac_manhunters|賞金稼ぎ
fac_deserters|脱走兵
fac_mountain_bandits|山賊
fac_forest_bandits|森の野盗
