qstr_Received_{reg0}_dama  = "{reg0} hasar alındı."
qstr_Gate_is_breached!  = "Kapı Kırıldı!"
qstr_Gate_opens..._You_ha  = "Kapı açılır... Orta Dünya'daki en kutsal yere ulaştın."
qstr_Secret_place_discove  = "Gizli yer keşfedildi!"
qstr_Next_Page  = "Sonraki Sayfa"
qstr_Action  = "Aksiyon"
qstr_Mount  = "Binek"
qstr_Attack_Type  = "Saldırı Tipi"
qstr_Hold_This_Position  = "Bu pozisyonu koru!"
qstr_Follow_Me  = "Beni takip et"
qstr_Charge  = "Hücum"
qstr_Advance  = "İlerle"
qstr_Fall_Back  = "Geri çekil!"
qstr_Stand_Closer  = "Yakın Durun"
qstr_Spread_Out  = "Dağılın"
qstr_Stand_Ground  = "Konumunu Koru"
qstr_Dismount  = "Binekten in"
qstr_Use_Any_Weapon  = "Herhangi bir silah kullan."
qstr_Use_Blunt_Weapons  = "Bayıltıcı silah kullan."
qstr_Hold_Your_Fire  = "Ateş Kes"
qstr_Fire_At_Will  = "Ateş Serbest"
qstr_Us  = "Biz"
qstr_Allies  = "Müttefikler"
qstr_Enemies  = "Düşmanlar"
qstr_Ready  = "Hazır"
qstr_Wounded  = "Yaralı"
qstr_Dead  = "Ölü"
qstr_Routed  = "Bozguna uğramış."
qstr_Number_of_men_knocke  = "Bayılan adam sayısı: {reg1}"
qstr_Number_of_men_left:_  = "Kalan adam sayısı: {reg1}"
qstr_Opponents_Beaten:_{r  = "Yenilen Düşmanlar: {reg1}"
qstr_Opponents_Remaining:  = "Kalan Düşmanlar: {reg1}"
qstr_Gauntlet_wave:_1  = "Gauntlet bölüm:1"
qstr_Gauntlet_wave:_{reg1  = "Gauntlet bölüm: {reg1}"
qstr_Remain_in_retirement  = "Emekli Olarak Kal."
qstr_Go_back_to_the_adven  = "Maceracılığa geri dön."
qstr_A_peaceful_village_n  = "Westfold'dan fazla uzak olmayan barışçıl bir köy..."
qstr_The_War_is_upon_Roha  = "Savaş Rohan'a geliyor!"
qstr_Minas_Tirith___The_W  = "Minas Tirith - Ak Şehir"
qstr_The_White_Tree_stand  = "Kralların soyu bozulduğundan beri Ak Ağaç ölü duruyor"
qstr_The_Shadow_grows_eve  = "Doğudaki Karanlık giderek büyüyor"
qstr_Minas_Morgul___City_  = "Minas Morgul - Nazgul'un İni"
qstr_Sauron_s_armies_marc  = "Sauron'un orduları  Savaş'a yürüyor!"
qstr_Adventurers_at_audie  = "Vekilharç Denethor ile seyirci maceracılar ..."
qstr___What_business_do_y  = "Burada ne işiniz var, yalvaranlar?"
qstr___Your_Stewardship_w  = "Vekilharç hazretleri, biz çok uzak topraklardan geliyoruz ve... ATLA!"
qstr___Enough_of_this_mad  = "'Bu kadar delilik yeter! Muhafızlar!'"
qstr___I_ve_had_enough_of  = "'Bu uygunsuz şakalardan bıktım...  Sıradaki grup diz çökmek zorunda!'"
qstr_Chest  = "Sandık"
qstr_Cape  = "Pelerin"
qstr_Arms  = "Omuzluk"
qstr_Thighs  = "Uyluk"
qstr_Legs  = "Bacaklar"
qstr_Rotate  = "Döndür"
qstr_Close  = "Kapat"
qstr_Faction_Side:^^Campa  = "Hizip Tarafı:^^Sefer Zorluğu*.^^Ana Alan:^^Mareşal:^^Düşmanlar:^^"
qstr_Campaign_Difficulty_  = "Sefer zorluğu taraf kuvvetine dayanır, seferdeki düşmanlar,^ ve oluşum birliklerinin ağacı & birliklerin ekipmanları."
qstr_Rallies:  = "Toplantı:"
qstr_View_Keybinds__Press  = "Kısayolları Göster (Insert'e bas)"
qstr_What_do_you_fight_fo  = "Ne için savaşıyorsun?"
qstr_Go_Back...  = "Geri Dön..."
qstr_Learn_about_the_diff  = "Orta Dünya'nın farklı taraflarını öğrenin"
qstr_The_DAWN_of_a_New_Er  = "Yeni bir Çağın Şafağı"
qstr_The_TWILIGHT_of_Man  = "İnsanlığın Alacakaranlığı"
qstr_Select_your_Race?  = "Irkınızı seçin"
qstr_Man  = "İnsan"
qstr_Elf  = "Elf"
qstr_Dwarf  = "Cüce"
qstr_Whom_Do_You_Serve?  = "Kime hizmet ediyorsun?"
qstr_SAURON_of_Mordor_The  = "Mordor'un Sauron'u, Yüzüklerin Efendisi"
qstr_SARUMAN_of_Isengard_  = "Isengard'ın Saruman'ı, Beyaz El"
qstr_an_ORC^_serving_the_  = "Bir ORK,^ Kapaksız Gözün Kölesi"
qstr_an_URUK^_the_new_bre  = "Bir URUK,^ yeni nesil ork"
qstr_a_MAN^_subjugated_by  = "Bir İNSAN,^ Sauron'a yenilmiş"
qstr_an_ORC^_serving_the_W  = "Bir ORK,^ Ak El'in Kölesi"
qstr_one_of_the_URUK_HAI^  = "Bir URUK-HAI,^ Isengard'da türetilmiş"
qstr_a_MAN_of_Dunland^_th  = "Bir Dunland İNSANI,^ Batı düzlüklerinden"
qstr_Click_the_center_but  = "Grup değiştirmek için ortadaki düğmeyi tıklayın^ayrıntılarını görüntülemek için avatarları tıklayın"
qstr_Level:_{reg3}^Health  = "Seviye: {reg3}^Sağlık: {reg4}"
qstr_Attributes  = "Nitelikler"
