skl_trade|Сметкаджия
skl_trade_desc|Нивата на това умение правят възможно вземането на повече оборудване за по- малко ресурсни точки. (Групово умение)
skl_leadership|Лидерство
skl_leadership_desc|Всяка точка повишава максималния брой войска, която можете да командване, с 5. Повишава духа и намалява заплатите на войската с 5%%. (Лидерско умение) 
skl_prisoner_management|Управление на затворниците
skl_prisoner_management_desc|Всяко ниво от умението увеличава максималния брой затворници с %d. (Лидерско умение) 
skl_persuasion|Убеждаване
skl_persuasion_desc|Това умение помага другите хора да приемат вашата гледна точка. (Лично умение)
skl_engineer|Изработване
skl_engineer_desc|Всяка точка на това умение намалява времето изработване на оборудване и позволява по-качествени подобрения. (Парти умение)
skl_first_aid|Бърза помощ
skl_first_aid_desc|Героите си възвръщат 5%% изгубени жизнени точки на всяко ниво от умението. (Парти умение)
skl_surgery|Хирургия
skl_surgery_desc|Всяка точка на това умение дава 4%% шанс, че смъртно поразен член на партията ще бъде ранен, а не убит. (Парти умение)
skl_wound_treatment|Лекуване на рани
skl_wound_treatment_desc|Скоростта на изцеляване на партията  се увеличава с 20 %% за всяко ниво на това умение. (Парти умение)
skl_inventory_management|Управление на запасите
skl_inventory_management_desc|Увеличава капацитета на инвентара с +6 за всяка точка от умението. (Лидерско умение)
skl_spotting|Наблюдаване
skl_spotting_desc|Обхватът на забелязване на партията се увеличава с 10 %% за всяко ниво на умение. (Парти умение)
skl_pathfinding|Намиране на път
skl_pathfinding_desc|Скоростта на партията на картата се увеличава с 3%% за всяко ниво на умение. (Парти умение)
skl_tactics|Тактика
skl_tactics_desc|На всеки две нива на това умение предимството в битка се увеличава с 1. (Парти умение) 
skl_tracking|Проследяване
skl_tracking_desc|Следите стават по- осведомителни. (Парти умение)
skl_trainer|Треньор
skl_trainer_desc|Всеки ден, всеки герой с това умение добавя някакъв опит на всеки друг член на партията, чието ниво е по-ниско от неговото. Придобитият опит следва да е: {0,4,10,16,23,30,38,46,55,65,80} (Лично умение)
skl_looting|Плячкосване
skl_looting_desc|Това умение увеличава количеството на получената плячка с 10%% за всяко ниво на умение. (Парти умение)
skl_horse_archery|Стрелба с лък от кон
skl_horse_archery_desc|Намалява санкциите за щети и точност за стрелба с лък и хвърляне, когато сте на кон. (Лично умение)
skl_riding|Езда
skl_riding_desc|Дава ви възможност да се яздите коне (или други животни) на по-високи нива на трудност и увеличава скоростта на яздене и маневриране. (Лично умение)
skl_athletics|Атлетика
skl_athletics_desc|Подобрява скоростта на тичане. (Лично умение)
skl_shield|Щитове
skl_shield_desc|Намалява щетите нанесени върху щитовете (с 8%% за всяко ниво на умение) и подобрява скоростта на щита, и неговото покритие. (Лично умение)
skl_weapon_master|Майстор на оръжията
skl_weapon_master_desc|Прави по-лесно ученето на оръжейната степен на владеене и увеличава границите на професионалната подготовка. Граници следват да са: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420. (Лично умение)
skl_power_draw|Сила на опъване
skl_power_draw_desc|Позволява героят да използва по-мощни лъкове. Всяка точка на това умение (до четири плюс изискване на сила на опъване на лъка) увеличава щетите на лъка с 14%%. (Лично умение)
skl_power_throw|Сила на хвърляне
skl_power_throw_desc|Всяка точка на това умение увеличава щетите на хвърляне с 10%%. (Лично умение)
skl_power_strike|Сила на удряне
skl_power_strike_desc|Всяка точка на това умение увеличава меле щетите с 8%%. (Лично умение)
skl_ironflesh|Желязна плът
skl_ironflesh_desc|Всяка точка на това умение увеличава жизнените точки с +2. (Лично умение)
