imod_plain|Obyčejný %s
imod_cracked|Špatný %s
imod_rusty|Hrubý %s
imod_bent|Ohnutý %s
imod_chipped|Naštípnutý %s
imod_battered|Omlácený %s
imod_poor|Špatný %s
imod_crude|Jednoduchý %s
imod_old|Starý %s
imod_cheap|Levný %s
imod_fine|Dobrý %s
imod_well_made|Kvalitní %s
imod_sharp|Ostrý %s
imod_balanced|Vyvážený %s
imod_tempered|Zakalený %s
imod_deadly|Smrtící %s
imod_exquisite|Výtečný %s
imod_masterwork|Mistrovský %s
imod_heavy|Těžký %s
imod_strong|Silný %s
imod_powerful|Mocný %s
imod_tattered|Potrhaný %s
imod_ragged|Hrubý %s
imod_rough|Hrubý %s
imod_sturdy|Pevný %s
imod_thick|Robustní %s
imod_hardened|Tvrzený %s
imod_reinforced|Vyztužený %s
imod_cloak|%s s pláštěm
imod_lordly|Mistrovský %s
imod_lame|Chromý %s
imod_swaybacked|Hrbatý %s
imod_stubborn|Tvrdohlavý %s
imod_timid|Plachý %s
imod_meek|Krví pokrytý %s
imod_spirited|Kurážný %s
imod_champion|Vítězný %s
imod_fresh|Čerstvé %s
imod_day_old|Den staré %s
imod_two_day_old|Dva dny staré %s
imod_smelling|Smradlavé %s
imod_rotten|Shnilé %s
imod_large_bag|Velký vak s %s
