menu_start_game_1|^^^^^^^^^^Za co bojuješ?
mno_start_good|ÚSVIT nového věku
mno_start_evil|SOUMRAK lidstva
mno_faction_intros|Nauč se o různých frakcích Středozemě
mno_go_bback|Zpět
menu_start_phase_2|^^^^^ Středozem. Na Východě se zvedá Stín, ^ přichází odtamtud dlouho skryté a  temné věci. ^ Svobodné národy se připravují na válku. Válku jakou nezažily po celý věk. ^ Lidé, elfové, trpaslíci a skřeti - všichni budou hrát svou roli. ^^ Jakou roli, to se teprve ukáže...
mno_go_forth|Vydej se po své zvolené cestě...
mno_change_tld_options|Změnit NASTAVENÍ TLD.
menu_start_game_3|^^^^^^^^Zvol si scénář:
mno_custom_battle_scenario_1|Šarvátka, Gondor proti Haradu
mno_custom_battle_scenario_12|Vyber frakce pro bitvu
mno_custom_battle_scenario_3|Šarvátka, Elfové proti Černým Númenorejcům
mno_custom_battle_scenario_4|Obrana Helmova žlebu, Rohan proti Železnému pasu
mno_custom_battle_scenario_5|Šarvátka, Seveřané proti Rhûnu
mno_custom_battle_scenario_6|Dobývání, skřeti proti trpaslíkům
mno_custom_battle_scenario_7|Přepadení, skřeti proti elfům z Temného hvozdu
mno_custom_battle_scenario_8|Poslední vzdor lidu Durinova
mno_custom_battle_scenario_88|Pronásledování orkských průzkumníků
mno_custom_battle_scenario_11|Testovací bitvy (pro balancováni statu)
mno_custom_battle_scenario_10|Testovací bitva pro procedurálně generovanou scénu
mno_troll_battle_scenario|Testovací bitvy se zlobry
mno_warg_battle_scenario|Testovací bitvy s vrrky
mno_build_your_own_scene|**Postav svou vlastni scénu pro TLD**
mno_go_back|Zpět
menu_tutorial|Vítejte do bojového tutoriálu hry Mount & Blade. Tady se naučíš základy boje a řízení tvé vlastní armády.
mno_tutorial_1|Tutoriál #1: Základní pohyb a výběr zbraní. {s1}
mno_tutorial_2|Tutoriál #2: Boj se štítem. {s2}
mno_tutorial_3|Tutoriál #3: Boj bez štítu. {s3}
mno_tutorial_3b_door|další úroveň
mno_tutorial_4|Tutoriál #4: Řízení koně nebo vrrka. {s4}
mno_tutorial_5|Tutoriál #5: Ovládání skupinky vojáků. {s5}
mno_go_back_dot|Jdi zpět.
mno_action_view_troop_trees|Přehled stromu jednotek
mno_view_upkeep_costs|Zobrazit náklady družiny.
mno_view_character_report|Zobrazit přehled postavy.
mno_view_party_size_report|Přehled velikosti družiny.
mno_view_morale_report|Přehled morálky družiny.
mno_view_character_report_02|Kontrola stavu NPC.
mno_view_faction_strengths_report|Zobrazit přehled síly frakcí.
mno_view_traits_report|Zobrazit rysy.
mno_resume_travelling|Pokračovat v cestě.
mno_custom_battle_go|Start.
mno_leave_custom_battle_2|Zrušit.
menu_custom_battle_end|^^^^^^Bitva skončila. {s1} Tvá strana zabila {reg5} nepřátel a ztratila {reg6} jednotek během bitvy.^Ty sám jsi zabil {reg7} protivníku v boji.
mno_replay|Znovu hrát tuto bitvu.
mno_continue_dot|Pokračovat.
menu_custom_battle_durin_end|^^^^^^Byl to obdivuhodný poslední vzdor, ale nakonec neúspěšný^^ Ty a tvoji příbuzní jste zabili {reg5} nepřátel.^Ty osobně si zabil {reg7} nepřátel v boji.
mno_replay_cbd|Znovu hrát tuto bitvu.
mno_continue_dot_cbd|Pokračovat.
mno_dot_go_back|. Jdi zpět
menu_start_good|^^^^^^^^^^Zvol si rasu:
mno_start_ma|ČLOVĚK
mno_start_el|ELF
mno_start_dw|TRPASLÍK
menu_start_evil|^^^^^^^^^^Komu sloužíš?
mno_start_eye|SAURONOVI z Mordoru, Pánu Prstenů
mno_start_hand|SARUMANOVI ze Železného pasu, Bílé Ruce
menu_start_eye|^^^^^^^^^Tvůj pán je Oko bez víčka^Zvol si Rasu
mno_start_or|SKŘET, sloužící Oku bez víčka
mno_start_ur|SKURUT, nove skřetí plémě
mno_start_em|ČLOVĚK, zotročený Sauronem
menu_start_hand|^^^^^^^^^Tvým pánem je Bílá Ruka^Zvol si rasu
mno_start_whor|SKŘET, sloužící Bílé Ruce
mno_start_isur|jeden ze SKURUT-HAI, vypěstován v Železném pasu
mno_start_duma|ČLOVĚK z Vrchoviny, ze Západních plání
menu_start_good_man|^^^^^^^^^^Zvol svůj lid:
mno_start_go|GONDOR, království Bílé věže
mno_start_ro|ROHAN, lidé koní
mno_start_du|DUNADÁNI, prastará dynastie lidí
mno_start_be|MEDDĚDOVCI, medvědí lidé
mno_start_wo|LESNÍ LIDÉ, z okraje Temného hvozdu
mno_start_da|severní království DOLU
menu_start_good_elf|^^^^^^^^^^ve kterém lese přebýváš, Starší?
mno_start_ri|ROKLINKA, dům pána Elronda
mno_start_lo|LOTHLORIEN, říše paní Galadriel
mno_start_mi|TEMNÝ HVOZD, říše lesních elfů
menu_start_good_dwarf|^^^^^^^^^^Zvol svůj původ:
mno_start_er|obyvatel EREBORU - Osamělé hory
mno_start_ih|kopáč ze ŽELEZNÝCH HOR
menu_start_gondor|^^^^^^^^^^Ze které části Gondoru pocházíš?
mno_start_mt|MINAS TIRITH, hlavní město
mno_start_ls|LOSSARNACH, knížectví sekerníků
mno_start_la|LAMEDON, knížectví horských klanů
mno_start_pg|PINNATH GELIN, knížectví Zelených kopců
mno_start_do|DOL AMROTH, knížectví labutích rytířů
mno_start_pe|PELARGIL, pobřežní knížectví
mno_start_bl|MORTHOND, knížectví lučištníků
menu_start_eye_man|^^^^^^^^^^Zvol svůj národ:
mno_start_hr|HARADIM, lide z rozpáleného Jihu
mno_start_bn|Černí NUMENOREJCI, odpadlíci ze Západu
mno_start_um|UMBAR, piráti z jižních moří
mno_start_rh|RHUN, barbaři z Východu
mno_start_kh|Varjagove, divoši z KHANDU na jihovýchodě
menu_start_eye_uruk|^^^^^^^^^^Kde se potloukáš?
mno_start_arm_uruk|v armádách shromáždených v MORDORU
mno_start_cav_uruk|v jeskyních DOL GULDURU
menu_start_eye_orc|^^^^^^^^^^Kde se potloukáš?
mno_start_arm|v armádách shromáždených v MORDORU
mno_start_cav|v jeskyních DOL GULDURU
menu_start_hand_orc|^^^^^^^^^^Kde se potloukáš?
mno_start_armis|v armádách shromážděných v ŽELEZNÉM PASU
mno_start_minmo|v temných dolech MORIE
mno_start_cliff|v doupatech pod štíty hory GUNDABAD
menu_start_gondor_mt|^^^^^^^^^^Zvol svůj Původ
mno_start_1_com|Obyčejný člověk
mno_start_2_hib|Šlechtic
menu_start_haradrim|^^^^^^^Jsi jeden z Haraďanů, ^člověk z Pouští.^Zvol si svůj původ
mno_start_1_des|Člověk z Pouště
mno_start_2_far|Divoch z pralesu Dálného Haradu
menu_start_numenorean|^^^^^^^Ty jsi černý Dúnadán,^Věrný Temnotě a Morgothovi^Vyber si, kde budeš sloužit Oku
mno_start_1_bn|Hned za Ústy Saurona, v MORANNONU
mno_start_2_bn|V pevnosti nekromancera, DOL GUDUR
menu_choose_gender|^^^^^^^^^^Tvé pohlaví?
mno_start_male|Muž
mno_start_female|Žena
mno_proc|Pokračuj
menu_start_as_one|^^^^^^^^^^Jaký typ Vojáka jsi?
mno_start_default|Staň se {s23} (Default)
mno_start_up1|Staň se {s21} (Easy)
mno_start_up2|Staň se {s22} (Easy)
mno_continue|Pokračuj...
menu_character_report|^^^^^Skupinová morálka: {reg8}^Maximální velikost skupiny: {reg7}^{s5}
menu_camp|^^^^Jsi v oblasti {s1}.{s2}^^Co chceš dělat?
mno_camp_scene|Projít si okolí.
