hint_1|Bílá ruka by neměla věřit Oku Bez Víčka. Ani naopak by to tak být nemělo.
hint_2|Proti komu, s kým a kde se bitva odehrává rozhoduje o to, které spojenecké království si buď všimne nebo ocení tvoje zásluhy.
hint_3|Průzkumníci jsou zdrojem informací pro království, stejně tak vězni, kteří jsou odvedeni do jejich vězení kvůli mučení a výslechu. Osvobozováním vězňů a rozprašováním průzkumníků můzes oslepit nepřítele.  
hint_4|Pamatuj, že máš rozdílné hodnoty Resource Pointů s každým královstvím, které ti umožňují zásobit se vybavením a jednotkami daného království.
hint_5|Vojenskému zhroucení království se nedá předejít. Mordor nikdy takový osud čekat nebude, válka skončí pouze, když je jeho vojenská síla potlačena a všichni jeho spojenci jsou poraženi.
hint_6|Abys nezpanikařil, když spatříš Nazgula, musíš si zachovat klidnou hlavu (INT). Vyžaduje to, abys perfektně ovládal svého koně, tím předejdeš jeho zpanikaření.
hint_7|Na mapě můžeš odpočívat přidrzením klávesy MEZERNIK. Avšak zranění členů skupiny se rychleji lečí při odpočinku ve městech.
hint_8|Abys mohl rychle brát a zahazovat věci z inventáře, drž klávesu CTRL a klikej levým tlačítkem.
hint_9|Muzete okamzite opustit jakkoukoliv lokaci zmacknutim klavesy TAB,  pri bitve zmacknutim klavesy BACKSPACE otevrete velici rozhrani.
hint_10|Pozor! Zvířata mohou zpanikařit v blízkosti trolů a olog-hais.
hint_11|Pracovní síla (Manpower) je důležitá surovina každého království: verbování a udržování jednotek pod tvým velením konzumuje Resource pointy dané frakce.
hint_12|Sve skupine muzete davat v bitve rozkazy. Muzete pridrzet SHIFT pro priblizeni pri zamerovani na vzdalene nepratele.
