ui_at_learning_limit|(nejvyšší možná úroveň pro tuto rasu)
ui_not_enough_skill_points_to_learn|(nedostatek bodů dovednosti)
ui_not_enough_attributetype_to_learn_this_skill|(nedostatek %s pro tuto dovednost)
ui_explanation_agility|Pohyblivost: Za každý bod dostaneš pět zbraňových bodů a zvyšuje se rychlost zacházení se zbraněmi o 0.5%. Nad 1/3 pohyblivosti se nelze naučit tyto schopnosti: mistrovství zbraně, štít, atletika, jezdectví, jízdní lukostřelba a kořistnictví.
ui_retreated_battle|%s zběhlo.
ui_riding_skill_not_adequate_to_mount|(jezdecká dovednost je příliš malá)
ui_camp|Akce
ui_tutorial_inventory|V Posledních Dnech, budeš potřebovat Body Zásob k získání vybavení. Body Zásob jsou měřítkem jak ochotné frakce jsou k zásobování tě, a na kolik frakčních zásob máš nárok.
ui_you_dont_have_value|Nemáš %s
ui_merchant_cant_afford_value|Dal jsi nám více než jsme potřebovali! Možná si nech něco pro sebe ( dáváš nám zboží za %s, my můžeme mít pouze  %s)
ui_merchant_pay_whatever|Ne, nic z toho nepotřebuji, nechte si to,
ui_horse|Osedlat
ui_reclaim_your_sold_goods|Než to uděláte,vraťte zboží které jste si vzali 
ui_return_your_bought_goods|Než to uděláte,vraťte zboží které jste si vzali 
ui_return_price|pri vraceni:  +%d B. Zdr.
ui_sell_price|pri predani: +%d B. Zdr.
ui_reclaim_price|získat zpět: - %d B. Zdr.
ui_buying_price|vzít: - %d B. Zdr.
ui_notification_riding_skill_not_enough|Tvoje jezdecké dovednosti nejsou dostatečné k jízdě na tomto.
ui_notification_payment_value|Spotrebuje %s
ui_notification_payment_receive_value|Ziska %s
ui_weekly_cost_value|Údržba: %s
ui_sell|dát
ui_hire|Naverbovat
ui_notification_cant_hire|(nedostatek B. Zdr. pro naverbování)
ui_joining_cost_weekly_wage|Odvod: %d B. Zdr.  --  Udrzba: %d B. Zdr.
ui_weekly_wage|Údržba: %d B. Zdr.
ui_price|Cena: %d B. Zdr.
ui_cant_reload_this_weapon_on_horseback|Tato zbraň nejde nabít na koni.
ui_delivered_number_damage_to_horse|Zasazeno %d poškození koni/vrku.
ui_horse_charged_for_number_damage|Kůň zaútočíl za %d poškození.
ui_horse_received_number_damage|Kůň dostal %d poškození .
ui_horse_fell_dead|Jezdecke zvire padlo...
ui_horse_crippled|Jezdecke zvire zchromlo...
ui_you_got_value|%s obdrženo.
ui_has_deserted_the_party|opustil skupinu.
ui_have_deserted_the_party|opustili skupinu.
ui_loading_textures|Načítám textury (buď trpělivý)...
ui_order_hold_fire_toggle|Nestřílet/Střílet dle libosti (přepnout)
ui_order_dismount_toggle|Přikázat Sesednout z/Nasednout na (přepnout)
ui_mount_horses_e_|%s, Nasednout na koně!
ui_hold_fire_e_|%s, Nestřílet!
ui_fire_at_will_e_|%s, Střílet dle libosti!
ui_recent_messages|Posledni Zpravy
ui_value_denars|%d Resource Pts.
ui_cannot_be_used_on_horseback|Nelze použít na koni
ui_upgrade_to_value| Povysit na %s
ui_notification_cant_upgrade|(Nelze povysovat jednotky predane do jine skupiny)
ui_lance_control|Ovládání Kopí:
ui_manual_easy|Manuál (Jednoduchý)
ui_manual_hard|Manuál (těžký)
ui_campaign_ai|Kampaňové UI (nevyužito):
ui_crouch|Skrčit

# swy: added from this spreadsheet, as requested by our translators:
#      https://docs.google.com/spreadsheets/d/1_zpuLL5iCwybkPCiJLOuyXTdZDm1_zxoToTroJRbtp4/edit?usp=sharing
ui_are_you_sure_you_want_to_import_the_character|Jste si jistý že chcete Importovat postavu?
ui_explanation_strength|Síla: Každý bod přidává +1 bod zdraví. Následující schopnosti nemohou být vyvinuty pod 1/3 síly: Železné svaly, Silný Úder, Silný Hod, Síla k natažení luku.
