hint_1|Baltoji Ranka neturėtų per daug pasitikėti Nuogąja Akimi ir atvirkščiai
hint_2|Prieš ką kovoji, kam padedi ir kur yra kovos vieta, nusako tai, kuri draugiška karalystė pastebi ir, galbūt, vertina tavo pastangas
hint_3|Karalystės informacijos šaltinis — skautai, tai pat ir belaisviai, kankinami požemiuose. Išlaisvinti kalinius ir dislokuoti skautus gali sužaloti priešą.
hint_4|Verta prisiminti, jog kiekvienoje karalystėje yra skirtingu valiutų Resursų taškai, kurie leidžia apsirūpinti įranga bei kariais toje karalystėje.
; hint_5|The military collapse of a kingdom is irreversible. Mordor can never suffer such a fate, but the war will be over if its military power is contained and all its allied are defeated.
; hint_6|It takes a cool mind (INT) to avoid panicking to a Nazgul. It takes a perfect control of one's horse to avoid that it panics.
; hint_7|You can rest on the world map by holding down the space bar. However, wounded party members will heal faster while resting in cities.
; hint_8|To quickly claim and give items away in inventory window, hold down control key while you left click.
; hint_9|You can leave any location instantly by pressing the tab key, and press Backspace key during battle to bring the command interface.
; hint_10|Animals can panic near trolls and olog-hais. Beware!
; hint_11|Manpower represents a crucial resource of a kingdom: taking and keeping troops under your command will consume Resource Points of the respective faction.
; hint_12|You can give orders to your party while in battle. You can hold down the shift key to zoom-in while aiming at distant enemies.
