ip_formations_and_morale|阵型和士气
ip_formations_and_morale_text|每场战斗的开始你的士兵会找到自己的位置布防而不是盲目冲锋，只有主要派系(18个派系)(正规军+逃兵)会使用阵型，土匪只会盲目冲锋。正义和邪恶派系的兵种会有组成阵型的差别，正义派系会形成盾墙(通常带盾士兵会站在第一排；但如果你有长柄枪手，他们会组成枪阵)，而邪恶阵营的军队会组成阵线(最强的士兵在前)。阵型只会在遭遇战中出现(意味着它并不会在定制战斗和城防战中出现)。^^在游戏中的任何时间你都可以选择编队或者“坚守此处”，当命令下达的时候，阵列就会在玩家所在的位置布成：步兵在左，骑兵在右，弓箭手在前。此外，编队会保持和玩家同样的朝向(取决于mod设置)。当你的士兵完成布防后，你可以命令他们散开(取决于mod设置)。每场战斗开始，玩家部队都会组成编队，除非通过mod设置改变，默认编队按键："J"是线列阵，“K”是武器对应阵型(盾墙或枪阵)，“L”是楔形阵(玩家有可能需要在大地图中重新设置"L"为游戏日志)，";"是方阵，"U"是解散阵型。线列阵会使弓箭手交叉排成一条直线，骑兵只有楔形阵。^^冲锋（或下马）将会解散阵型。玩家可以多次下令让编队朝着敌人的相对位置移动，或者使用命令面板又或者按住F1来让他们移动(或者让骑兵楔形阵扫过敌军)。作为指挥官，在战斗期间让你的部队保持队型是你的责任，你们伤亡越多，士气就越低。时刻关注弹出来的信息！你能以两种方式振奋士气：^^1.奋勇杀敌。你的勇猛会激励你的士兵，让他们士气大振不会溃逃。^^2.重整队形。如果你的部队正在溃逃，按下"V"键。你的角色会吹响号角并重整队形。在每场战斗中重整队形的次数是有限的！(次数取决于你角色的魅和统属性)^^如果你击败了敌人的指挥官，这会是极大的优势，因为，一旦敌人失去了指挥官，他们就无法重新整队。因此只要你打垮了他们，他们就会溃逃。
ip_economy|货币体系
ip_economy_text|最后之日中没有金钱的概念。作为替代，你和某派系的关系由资源点，影响力和军衔表示。^^资源对派系而言是战争必需品—你可以用掠夺的废物和物品兑换它；根据你在某派系中的军衔，你每周会得到一定数量的资源点作为薪酬。你可以用这笔薪酬为你和同伴们获得士兵，装备，马匹，但前提是你积累得足够多。每个派系都有自己独立的资源点/影响力/军衔系统，要牢记这一点！^影响力会在完成任务或赢得艰难的战斗后获得。它们可以随后被用于跟对应派系统治者兑换特殊物品，以作为统治者的奖赏。^^军衔点允许你提升在对应阵营中的军衔—这将决定你的队伍人数上限，每周的资源收入，和解锁一些其余的东西。为了忠于指环王世界的传统，我们在默认选项里已经禁止了“变装”：一个刚铎人不太可能穿戴掠夺来的半兽人甲，反之也然。在大多数战斗后，你在战利品中几乎不可能发现可以直接使用的物品。作为替代，战斗会掉落“金属废料”，它表示可回收使用的装备，并且可以拿来交给需要的铁匠来换取资源点。
ip_war_of_the_ring|魔戒圣战
ip_war_of_the_ring_text|在游戏的开局阶段，正义与邪恶之战还没有开始。当战争开始的时候你会收到通知。 (它并不取决于时间的长短而是取决于你为战争而作出的准备。) 虽然在开始的时候中土世界看上去是一个很空旷而又很安静的地方，但是一旦战争机器启动，嘈杂会瞬间填满整个世界。所以要明智的使用刚开始的和平时光！你可以接受所有右方派系首领或领主给你的任务，并在军营中提升你和你的部队。^^战争的本身可以赢或是输，最后之日中不像骑砍原版，每个派系都会随着战争结果的改变而改变。随着派系力量的消失，走势将有可能会变成敌人围困住城市或营地。当一个派系的力量到了无法继续下去的时候，可以通过暴雨般强势的方式完全击败他。^^注意！玩家在最后之日中不能开启围城，只可以在派系首领认为可以去剿灭敌人定居点的时候去帮助参战。^^(这是一个构思上的设定，并不是一个游戏错误，也是我们想在之后的版本中调整的，所以选择围困是可以的，但是非常昂贵与难以获得)^^根据地理情况，在最后之日中有几个战区，如果有一方肃清了本战区的对敌，它会派一支远征军去帮助其他战区的盟友。远征军会在另一个战区建立营地，并围绕营地展开活动。如果正义的一方完全被击败，而魔都和艾辛格都非常强大，他们会互相争斗用来决定最后的胜利。
ip_starting_tips|新手指南
ip_starting_tips_text|你一开始选择的派系无法在游戏中更改。你也可以选择不同的种族：人类，精灵，矮人，强兽人，半兽人。请牢记，你选择的派系和种族会在某些方面限制你。有些派系拥有少量但精锐的士兵，另一些则相反。较小的半兽人无法穿戴为强兽人设计的巨大盔甲，但能骑一些野兽。矮人的重甲极其杰出，却无法骑乘坐骑。^^这种设计不是为了完全(人为)平衡游戏难度。扮演弱小的种族或派系会更有挑战性(第一次玩时，你或许想要推荐选项，它们在开始菜单可选列表的最上面)。^^你选择一个派系，为之战斗直到你的一方赢得了魔戒圣战，或者你的派系被抹除了。在后者的情况下，你仍然可以为盟军战斗。^^ 漫无目的地游荡并不是一个好主意，这场战争需要你自己的目标和打算。在战争开始前，你该聚集起一班战士，获得低费用的部队和一些财物来做好准备。在战争开始后，你的策略可以有很多。记住，削弱敌人和帮助盟友同样重要。^ 履行派系领主的任务是一个提升等级，获得资源点和影响力的好办法。^ 同时接受多个任务/请求，向每个人询问！常常四处做任务，比如在送信的同时完成其他任务。不要浪费时间！
ip_rumours_and_legendary_places|谣言与传说
ip_rumours_and_legendary_places_text|与当地居民交谈，你有时需要站在该派系的角度上看待他们的观点。这些观点常常会包含有趣的知识，甚至会在世界地图上解锁有关的特殊传奇地点。^^其中一些只是为了去探索，没有任何其他目的；另外一些包含特殊的任务和彩蛋。当你解锁时，你会通过信息收到提示。
ip_trolls|食人妖
