hint_1|白手不应过于相信魔眼，反之亦然。
hint_2|你帮助何人，于何地，对阵何人决定了哪些同盟王国会关注你的事迹。当然，你的付出会得到回报的。
hint_3|侦察兵是王国情报的主要来源之一；当然，如果他们被俘虏的话自然少不了被折磨和拷问。释放被囚者，广撒侦察兵，以便运筹帷幄。
hint_4|记住，在每个王国里，你都有不同的资源点数，这个点数可以让你在那个王国里补给装备和军队。
hint_5|战争失利是无法逆转的。魔都绝不会遭此厄运。但是，如果它的军事力量被遏制，它的盟友被打败，这场战争也就会结束了。
hint_6|戒灵会使你的马匹恐惧。你需要的是完美的控制和冷静的头脑(INT)
hint_7|在世界地图上按住空格键，你就可以休息。不过在城市中休息会让受伤的成员恢复地更快。
hint_8|在物品窗口中，按住Ctrl键并用左键点选某物品，可以快速获取或者卖出该物品。
hint_9|按下Tab键，你可以马上离开任何位置。在战斗中按下退格键可以呼出命令界面。
hint_10|当心！动物在食人妖附近时会恐慌。
hint_11|兵力是一个王国的重要资源：招募并统领士兵会不断地消耗对应派系的资源点数。
hint_12|你可以在战斗中给你的部队下达命令。你可以通过按shift键来放大目标，以瞄准远距离的敌人
