fac_no_faction|Groupe sans faction
fac_commoners|Roturiers
fac_outlaws|Sauvages et Bandits
fac_gondor|Gondor
fac_dwarf|Erebor
fac_rohan|Rohan
fac_mordor|Mordor
fac_isengard|Isengard
fac_lorien|Lothlórien
fac_imladris|Imladris
fac_woodelf|Le Royaume Sylvestre
fac_dale|Dale
fac_harad|Harad
fac_rhun|Rhûn
fac_khand|Khand
fac_umbar|Umbar
fac_moria|La Moria
fac_guldur|Dol Guldur
fac_gundabad|Mont Gundabad
fac_dunland|Pays de Dun
fac_beorn|La Vallée de l'Anduin
fac_player_supporters_faction|Faction du joueur
fac_player_faction|Faction du joueur
fac_brigands|Brigands
fac_tribal_orcs|Orques tribaux
fac_innocents|Innocents
fac_merchants|Marchands
fac_manhunters|Chasseurs de primes
fac_deserters|Déserteurs
fac_mountain_bandits|Bandits des montagnes
fac_forest_bandits|Bandits des forêts
