p_town_minas_tirith|Minas Tirith
p_town_pelargir|Pelargir
p_town_linhir|Linhir
p_town_dol_amroth|Dol Amroth
p_town_edhellond|Edhellond
p_town_lossarnach|Lossarnach
p_town_tarnost|Tarnost
p_town_erech|Erech
p_town_pinnath_gelin|Pinnath Gelin
p_town_west_osgiliath|Osgiliath-ouest
p_town_henneth_annun|Henneth Annûn
p_town_cair_andros|Cair Andros
p_town_calembel|Calembel
p_town_edoras|Edoras
p_town_aldburg|Aldburg
p_town_hornburg|Fort-le-Cor
p_town_east_emnet|Estemnet
p_town_westfold|Ouestfolde
p_town_west_emnet|Ouestemnet
p_town_eastfold|Estfolde
p_town_morannon|Morannon
p_town_minas_morgul|Minas Morgul
p_town_cirith_ungol|Camp de patrouille orque
p_town_east_osgiliath|Osgiliath-est
p_town_orc_sentry_camp|Avant-poste orque
p_town_isengard|Isengard
p_town_urukhai_outpost|Avant-poste uruk-hai
p_town_urukhai_h_camp|Camp de chasseurs uruk-hai
p_town_urukhai_r_camp|Camp fluvial uruk-hai
p_town_caras_galadhon|Caras Galadhon
p_town_cerin_dolen|Cerin Dolen
p_town_cerin_amroth|Cerin Amroth
p_town_thranduils_halls|Halls de Thranduil
p_town_woodelf_camp|Camp des Elfes sylvains
p_town_woodelf_west_camp|Camp occidental des Elfes sylvains
p_town_woodsmen_village|Village de Forestiers
p_town_beorning_village|Village de Béornides
p_town_beorn_house|Maison de Beorn
p_town_moria|Portes de la Moria
p_town_troll_cave|Caverne troll
p_town_dale|Dale
p_town_esgaroth|Esgaroth
p_town_dunland_camp|Campement des Hommes de Dûn
p_town_harad_camp|Campement des Haradrim
p_town_khand_camp|Campement de Khand
p_town_umbar_camp|Camp corsaire
p_town_imladris_camp|Campement de Fondcombe
p_town_dol_guldur|Dol Guldur
p_town_dol_guldur_north_outpost|Avant-poste nord de Dol Guldur
p_town_rhun_main_camp|Camp principal de Rhûn
p_town_rhun_south_camp|Avant-poste sud de Rhûn
p_town_rhun_north_camp|Avant-poste nord de Rhûn
p_town_gundabad|Gundabad
p_town_gundabad_ne_outpost|Avant-poste nord-est de Gundabad
p_town_gundabad_nw_outpost|Avant-poste nord-ouest de Gundabad
p_town_goblin_north_outpost|Avant-poste nord gobelin
p_town_goblin_south_outpost|Avant-poste sud gobelin
p_town_gundabad_m_outpost|Avant-poste de Gundabad dans la Forêt Noire
p_town_erebor|Erebor
p_town_ironhill_camp|Carrière des Monts du Fer
p_advcamp_gondor|Camp avancé du Gondor
p_advcamp_rohan|Camp avancé du Rohan
p_advcamp_isengard|Camp avancé de l'Isengard
p_advcamp_mordor|Camp avancé du Mordor
p_advcamp_harad|Camp avancé du Harad
p_advcamp_rhun|Camp avancé de Rhûn
p_advcamp_khand|Camp avancé de Khand
p_advcamp_umbar|Camp avancé d'Umbar
p_advcamp_lorien|Camp avancé de la Lórien
p_advcamp_imladris|Camp avancé d'Imladris
p_advcamp_woodelf|Camp avancé de la Forêt Noire
p_advcamp_moria|Camp avancé de la Moria
p_advcamp_guldur|Camp avancé de Dol Guldur
p_advcamp_gundabad|Camp avancé de Gundabad
p_advcamp_dale|Camp avancé de Dale
p_advcamp_dwarf|Camp avancé d'Erebor
p_advcamp_dunland|Camp avancé du Pays de Dun
p_advcamp_beorn|Camp avancé des Béornides
p_argonath|Argonath
p_argonath2|Argonath
p_hand_isen|Signe de la Main d'Isengard
p_mount_doom|Mont du Destin
p_town_barad_dur|Barad-Dûr
p_ford_cair_andros1|Anduin
p_ford_cair_andros2|Anduin
p_ford_caras_galadhon|Anduin
p_ford_brown_lands|Anduin
p_ford_rauros|Anduin
p_ford_pelargir|Anduin
p_ford_edhellond|Anduin
p_ford_cerin_dolen|Celebrant
p_old_ford|Vieux Gué
p_ford_erech|Ringló
p_ford_isen1|Isen
p_ford_isen2|Isen
p_ford_rohan|Entalluve
p_ford_rohan2|Entalluve
p_ford_fangorn|Entalluve
p_ford_fangorn2|Limeclaire
p_ford_moria|Celebrant
p_legend_amonhen|Amon Hen
p_legend_deadmarshes|Marais des Morts
p_legend_mirkwood|Forêt de Mirkwood
p_legend_fangorn|Chambre des Ents de Fangorn
p_ring_hunter_lair|Repaire des Chasseurs d'Anneaux
p_ancient_ruins|Ruines anciennes
