fac_no_faction|Ingen faction
fac_commoners|Almindelige
fac_outlaws|Banditter
fac_gondor|Gondor
fac_dwarf|Erebor
fac_rohan|Rohan
fac_mordor|Mordor
fac_isengard|Isengard
fac_lorien|Lothlorien
fac_imladris|Imladris
fac_woodelf|Mirkwood Elves
fac_dale|Dale
fac_harad|Harad
fac_rhun|Rhun
fac_khand|Khand
fac_umbar|Umbar
fac_moria|Moria
fac_guldur|Dol Guldur
fac_gundabad|Gundabad Bjerget
fac_dunland|Dunlendings
fac_beorn|Beorings
fac_player_supporters_faction|Spiller faction
fac_player_faction|Spiller faction
fac_brigands|Røvere
fac_tribal_orcs|Stamme Orkere 
fac_innocents|Uskyldige
fac_merchants|Handlende
fac_manhunters|Menneksejægere
fac_deserters|Desertører  
fac_mountain_bandits|Bjerg Banditter
fac_forest_bandits|Skov Banditter
