2014
qstr_Received_{reg0}_dama Received_{reg0}_damage.
qstr_Siege_Weapon_damaged Siege_Weapon_damaged_{reg10}_agents
qstr_Gate_is_breached! Gate_is_breached!
qstr_Gate_opens..._You_ha Gate_opens..._You_have_reached_the_most_sacred_place_in_Middle_Earth!
qstr_Secret_place_discove Secret_place_discovered!
qstr_{!}_debug:_sound_emi {!}_debug:_sound_emitter:_var1_x_10_+_var2_is_sound_no;_first_two_digits_after_comma_in_scale_x_is_range_in_metres
qstr_{!}_debug:_scale_pro {!}_debug:_scale_prop_to_disable_this_message
qstr_{!}_debug:_ambient_s {!}_debug:_ambient_sound_emitter:_stops_all_looping_sounds,_sets_a_new_ambient_sound_while_in_range
qstr_hit! hit!
qstr_Next_Page Next_Page
qstr_Action Action
qstr_Mount Mount
qstr_Attack_Type Attack_Type
qstr_Hold_This_Position Hold_This_Position
qstr_Follow_Me Follow_Me
qstr_Charge Charge
qstr_Advance Advance
qstr_Fall_Back Fall_Back
qstr_Stand_Closer Stand_Closer
qstr_Spread_Out Spread_Out
qstr_Stand_Ground Stand_Ground
qstr_Dismount Dismount
qstr_Use_Any_Weapon Use_Any_Weapon
qstr_Use_Blunt_Weapons Use_Blunt_Weapons
qstr_Hold_Your_Fire Hold_Your_Fire
qstr_Fire_At_Will Fire_At_Will
qstr_Us Us
qstr_Allies Allies
qstr_Enemies Enemies
qstr_Ready Ready
qstr_Wounded Wounded
qstr_Dead Dead
qstr_Routed Routed
qstr_Number_of_men_knocke Number_of_men_knocked_down:_{reg1}
qstr_Number_of_men_left:_ Number_of_men_left:_{reg1}
qstr_Opponents_Beaten:_{r Opponents_Beaten:_{reg1}
qstr_Opponents_Remaining: Opponents_Remaining:_{reg1}
qstr_Gauntlet_wave:_1 Gauntlet_wave:_1
qstr_Gauntlet_wave:_{reg1 Gauntlet_wave:_{reg1}
qstr_Remain_in_retirement Remain_in_retirement.
qstr_Go_back_to_the_adven Go_back_to_the_adventuring.
qstr_swy_ui_opacity swy_ui_opacity
qstr_______ ______
qstr_A_peaceful_village_n A_peaceful_village_not_far_from_Westfold...
qstr_The_War_is_upon_Roha The_War_is_upon_Rohan!
qstr_Minas_Tirith___The_W Minas_Tirith_-_The_White_City
qstr_The_White_Tree_stand The_White_Tree_stands_dead_since_the_line_of_the_Kings_had_failed
qstr_And_the_Shadow_grows And_the_Shadow_grows_ever_stronger_in_the_East
qstr_Minas_Morgul___City_ Minas_Morgul_-_City_of_the_Nazgul
qstr_Sauron_s_armies_marc Sauron's_armies_march_into_War!
qstr_Adventurers_at_audie Adventurers_at_audience_with_Steward_Denethor...
qstr___What_business_do_y _'What_business_do_you_have_here,_supplicants?'
qstr___Your_Stewardship_w _'Your_Stewardship,_we_have_come_from_distant_lands_to..._jump!'
qstr___Enough_of_this_mad _'Enough_of_this_madness!_Guards!!'
qstr___I_ve_had_enough_of _'I've_had_enough_of_these_pranks..._The_next_bunch_would_have_to_kneel!'
qstr_Chest Chest
qstr_Cape Cape
qstr_Arms Arms
qstr_Thighs Thighs
qstr_Legs Legs
qstr_Rotate Rotate
qstr_Rotation={reg0} Rotation={reg0}
qstr_{s30} {s30}
qstr_{s1} {s1}
qstr_Close Close
qstr_Faction_Side:^^Campa Faction_Side:^^Campaign_Difficulty*:^^Home_Theater:^^Marshall:^^Enemies:^^
qstr_Campaign_Difficulty_ Campaign_Difficulty_is_based_on_starting_faction_strength,_theater_enemies,^_and_faction_troop_tree_&_troop_equipment.
qstr_{s2} {s2}
qstr_Rallies: Rallies:
qstr_View_Keybinds__Press View_Keybinds_(Press_Insert)
qstr_{reg75} {reg75}
qstr_What_do_you_fight_fo What_do_you_fight_for?
qstr_Go_Back... Go_Back...
qstr_Learn_about_the_diff Learn_about_the_different_factions_of_Middle-Earth
qstr_The_DAWN_of_a_New_Er The_DAWN_of_a_New_Era
qstr_The_TWILIGHT_of_Man The_TWILIGHT_of_Man
qstr_Select_your_Race? Select_your_Race?
qstr_Man Man
qstr_Elf Elf
qstr_Dwarf Dwarf
qstr_Whom_Do_You_Serve? Whom_Do_You_Serve?
qstr_SAURON_of_Mordor_The SAURON_of_Mordor,_The_Lord_of_the_Rings
qstr_SARUMAN_of_Isengard_ SARUMAN_of_Isengard,_The_White_Hand
qstr_an_ORC^_serving_the_ an_ORC,^_serving_the_Lidless_Eye
qstr_an_URUK^_the_new_bre an_URUK,^_the_new_breed_of_Orcs
qstr_a_MAN^_subjugated_by a_MAN,^_subjugated_by_Sauron
qstr_an_ORC^_serving_the_W an_ORC,^_serving_the_White_Hand
qstr_one_of_the_URUK_HAI^ one_of_the_URUK-HAI,^_bred_in_Isengard
qstr_a_MAN_of_Dunland^_th a_MAN_of_Dunland,^_the_Western_Plains
